row_label_raw,row_label_full,Tên công ty > Công ty Cổ phần VinaCafé Biên Hòa > Công ty Cổ phần Nước khoáng Vĩnh Hảo > Công ty Cổ phần Thương mại Dịch vụ và Sản xuất Krôngpha > Công ty Cổ phần Nước khoáng Quảng Ninh > Công ty Cổ phần Sản xuất Thương mại CDN,Tên công ty > (iii) > (iv) > (iii) > (v),Hoạt động chính > Sản xuất và kinh doanh đồ uống > Sản xuất và kinh doanh đồ uống và bao bì > Sản xuất đồ uống > Sản xuất và kinh doanh đồ uống,"Địa chỉ > Khu Công nghiệp Biên Hòa I, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam. > Thôn Vĩnh Sơn, Xã Vĩnh Hảo, Huyện Tuy Phong, Tỉnh Bình Thuận, Việt Nam. > Km 37, Xa lộ 27, Thị trấn Tân Sơn, Huyện Ninh Sơn, Tỉnh Ninh Thuận, Việt Nam. > Nhóm 3A, khu 4, Suối Mơ, Phường Bãi Chấy, Thành phố Hạ Long, Tỉnh Quảng Ninh, Việt Nam. > Số 10 Đường Nội Bộ Hưng Gia 2, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam.","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Phần trăm lợi ích kinh tế tại ngày31/12/2016 > 68,46% > 88,56% > 88,55% > 65,68% > 58,19%","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2016 > 53,20% > 63,95% > 63,94% > 65% > -","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Phần trăm quyền biểu quyết tại ngày31/12/2016 > 68,46% > 88,56% > 99,99% > 65,68% > 85%","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2016 > 53,20% > 63,95% > 99,99% > 65% > -",numeric__Tên công ty > (iii) > (iv) > (iii) > (v),numeric__Hoạt động chính > Sản xuất và kinh doanh đồ uống > Sản xuất và kinh doanh đồ uống và bao bì > Sản xuất đồ uống > Sản xuất và kinh doanh đồ uống,"numeric__Địa chỉ > Khu Công nghiệp Biên Hòa I, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam. > Thôn Vĩnh Sơn, Xã Vĩnh Hảo, Huyện Tuy Phong, Tỉnh Bình Thuận, Việt Nam. > Km 37, Xa lộ 27, Thị trấn Tân Sơn, Huyện Ninh Sơn, Tỉnh Ninh Thuận, Việt Nam. > Nhóm 3A, khu 4, Suối Mơ, Phường Bãi Chấy, Thành phố Hạ Long, Tỉnh Quảng Ninh, Việt Nam. > Số 10 Đường Nội Bộ Hưng Gia 2, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam.","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Phần trăm lợi ích kinh tế tại ngày31/12/2016 > 68,46% > 88,56% > 88,55% > 65,68% > 58,19%","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2016 > 53,20% > 63,95% > 63,94% > 65% > -","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Phần trăm quyền biểu quyết tại ngày31/12/2016 > 68,46% > 88,56% > 99,99% > 65,68% > 85%","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2016 > 53,20% > 63,95% > 99,99% > 65% > -"
Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,,,,,,,
Công ty Cổ phần Thực phẩm Cholimex,Một công ty liên kết > Công ty Cổ phần Thực phẩm Cholimex,Công ty Cổ phần Thực phẩm Cholimex,(ii),Sản xuất và kinh doanh gia vị,"Lô C40 – 43/I, Đường số 7, Khu Công nghiệp Vĩnh Lộc, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam.","32,8%","32,8%","32,8%","32,8%",,,,0.32799999999999996,0.32799999999999996,0.32799999999999996,0.32799999999999996
