row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Quyền khai thác VND,Thương hiệu VND,Quan hệ khách hàng VND,Nguồn nước khoáng VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Quyền khai thác VND,numeric__Thương hiệu VND,numeric__Quan hệ khách hàng VND,numeric__Nguồn nước khoáng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,123.577.684.764,266.353.638.873,88.408.197.667,757.478.531.332,404.114.911.701,412.697.763.511,2.052.630.727.848,123577684764.0,266353638873.0,88408197667.0,757478531332.0,404114911701.0,412697763511.0,2052630727848.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,27.597.137.629,-,-,-,27.597.137.629,,,27597137629.0,,,,27597137629.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,24.090.871.914,1.794.878.000,876.285.239,-,-,26.762.035.153,,24090871914.0,1794878000.0,876285239.0,,,26762035153.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(4.491.866.362),-,-,-,-,-,(4.491.866.362),-4491866362.0,,,,,,-4491866362.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,119.085.818.402,290.444.510.787,117.800.213.296,758.354.816.571,404.114.911.701,412.697.763.511,2.102.498.034.268,119085818402.0,290444510787.0,117800213296.0,758354816571.0,404114911701.0,412697763511.0,2102498034268.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,22.787.494.728,30.082.466.090,2.594.792.443,251.480.915.252,283.205.016.061,7.593.782.280,597.744.466.854,22787494728.0,30082466090.0,2594792443.0,251480915252.0,283205016061.0,7593782280.0,597744466854.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,3.973.493.884,33.298.237.584,5.222.895.451,66.854.958.673,61.580.087.040,21.934.668.276,192.864.340.908,3973493884.0,33298237584.0,5222895451.0,66854958673.0,61580087040.0,21934668276.0,192864340908.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(692.496.070),-,-,-,-,-,(692.496.070),-692496070.0,,,,,,-692496070.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,26.068.492.542,63.380.703.674,7.817.687.894,318.335.873.925,344.785.103.101,29.528.450.556,789.916.311.692,26068492542.0,63380703674.0,7817687894.0,318335873925.0,344785103101.0,29528450556.0,789916311692.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,100.790.190.036,236.271.172.783,85.813.405.224,505.997.616.080,120.909.895.640,405.103.981.231,1.454.886.260.994,100790190036.0,236271172783.0,85813405224.0,505997616080.0,120909895640.0,405103981231.0,1454886260994.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,93.017.325.860,227.063.807.113,109.982.525.402,440.018.942.646,59.329.808.600,383.169.312.955,1.312.581.722.576,93017325860.0,227063807113.0,109982525402.0,440018942646.0,59329808600.0,383169312955.0,1312581722576.0
