row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Lợi thế kinhdoanh từcổ phần hóaVND,Công cụ vàdụng cụVND,Tổng cộngVND,numeric__Chi phí đấttrả trướcVND,numeric__Lợi thế kinhdoanh từcổ phần hóaVND,numeric__Công cụ vàdụng cụVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,45.566.425.643,31.343.711.533,50.037.200.914,126.947.338.090,45566425643.0,31343711533.0,50037200914.0,126947338090.0
Tăng từ mua công ty con,Tăng từ mua công ty con,Tăng từ mua công ty con,-,-,1.203.165.220,1.203.165.220,,,1203165220.0,1203165220.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,42.064.673.420,-,8.491.583.924,50.556.257.344,42064673420.0,,8491583924.0,50556257344.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,-,53.354.611.425,53.354.611.425,,,53354611425.0,53354611425.0
Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,3.799.370.292,3.799.370.292,,,3799370292.0,3799370292.0
Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,-,-,177.109.882,177.109.882,,,177109882.0,177109882.0
Chuyển sang tài sản cố định hữu hình – thuần,Chuyển sang tài sản cố định hữu hình – thuần,Chuyển sang tài sản cố định hữu hình – thuần,-,-,(1.508.546.435),(1.508.546.435),,,-1508546435.0,-1508546435.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(2.258.462.168),(3.134.371.152),(35.905.465.870),(41.298.299.190),-2258462168.0,-3134371152.0,-35905465870.0,-41298299190.0
Thanh lý,Thanh lý,Thanh lý,-,-,(1.920.105),(1.920.105),,,-1920105.0,-1920105.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,85.372.636.895,28.209.340.381,79.647.109.247,193.229.086.523,85372636895.0,28209340381.0,79647109247.0,193229086523.0
