row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_5,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_6,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_5,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_6
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,,,,,,
,,,,31/12/2016,,,1/1/2016,,,,,,,
Số ngày quá hạn,Số ngày quá hạn,Số ngày quá hạn,Giá gốc VND,Dự phòng VND,Giá trị có thể thu hồi VND,Giá gốc VND,Dự phòng VND,Giá trị có thể thu hồi VND,,,,,,
0 – 30 ngày,Số ngày quá hạn > 0 – 30 ngày,0 – 30 ngày,43.712.307.539,-,43.712.307.539,53.855.360.311,-,53.855.360.311,43712307539.0,,43712307539.0,53855360311.0,,53855360311.0
31 – 180 ngày,Số ngày quá hạn > 31 – 180 ngày,31 – 180 ngày,562.712.024,-,562.712.024,1.274.690.676,-,1.274.690.676,562712024.0,,562712024.0,1274690676.0,,1274690676.0
181 – 365 ngày,Số ngày quá hạn > 181 – 365 ngày,181 – 365 ngày,119.942.347,(4.553.821),115.388.526,112.706.563,(33.811.969),78.894.594,119942347.0,-4553821.0,115388526.0,112706563.0,-33811969.0,78894594.0
Trên 365 ngày,Số ngày quá hạn > Trên 365 ngày,Trên 365 ngày,1.283.068.350,(1.212.473.536),70.594.814,1.469.678.246,(771.989.612),697.688.634,1283068350.0,-1212473536.0,70594814.0,1469678246.0,-771989612.0,697688634.0
,,,45.678.030.260,(1.217.027.357),44.461.002.903,56.712.435.796,(805.801.581),55.906.634.215,45678030260.0,-1217027357.0,44461002903.0,56712435796.0,-805801581.0,55906634215.0
Dự phòng phải thu khó đòi,Số ngày quá hạn > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,,(1.217.027.357),,,(805.801.581),,,-1217027357.0,,,-805801581.0,
Biến động dự phòng phải thu khó đòi trong năm như sau:,Biến động dự phòng phải thu khó đòi trong năm như sau:,Biến động dự phòng phải thu khó đòi trong năm như sau:,Biến động dự phòng phải thu khó đòi trong năm như sau:,Biến động dự phòng phải thu khó đòi trong năm như sau:,Biến động dự phòng phải thu khó đòi trong năm như sau:,Biến động dự phòng phải thu khó đòi trong năm như sau:,Biến động dự phòng phải thu khó đòi trong năm như sau:,Biến động dự phòng phải thu khó đòi trong năm như sau:,,,,,,
,,,,,,,2016 VND,2015 VND,,,,,,
Số dư đầu năm,Biến động dự phòng phải thu khó đòi trong năm như sau: > Số dư đầu năm,Số dư đầu năm,,,,,805.801.581,2.063.747.655,,,,,805801581.0,2063747655.0
Tăng dự phòng trong năm,Biến động dự phòng phải thu khó đòi trong năm như sau: > Tăng dự phòng trong năm,Tăng dự phòng trong năm,,,,,611.371.481,209.584.106,,,,,611371481.0,209584106.0
Sử dụng dự phòng trong năm,Biến động dự phòng phải thu khó đòi trong năm như sau: > Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,,,,,(58.476.340),(598.710.895),,,,,-58476340.0,-598710895.0
Hoàn nhập,Biến động dự phòng phải thu khó đòi trong năm như sau: > Hoàn nhập,Hoàn nhập,,,,,(141.669.365),(868.819.285),,,,,-141669365.0,-868819285.0
Số dư cuối năm,Biến động dự phòng phải thu khó đòi trong năm như sau: > Số dư cuối năm,Số dư cuối năm,,,,,1.217.027.357,805.801.581,,,,,1217027357.0,805801581.0
