row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2016,Gia vịVND,Thực phàmtiện lợiVND,Đồ uốngVND,Hợp nhấtVND,numeric__Gia vịVND,numeric__Thực phàmtiện lợiVND,numeric__Đồ uốngVND,numeric__Hợp nhấtVND
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,1.462.565.696.956,1.200.498.321.968,3.172.238.930.632,5.835.302.949.556,1462565696956.0,1200498321968.0,3172238930632.0,5835302949556.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,11.755.343.560.065,,,,11755343560065.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,17.590.646.509.621,,,,17590646509621.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,113.543.169.908,119.183.003.852,756.352.583.636,989.078.757.396,113543169908.0,119183003852.0,756352583636.0,989078757396.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,,3.786.120.748.795,,,,3786120748795.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,4.775.199.506.191,,,,4775199506191.0
Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi tiêu vốn,Chi tiêu vốn,231.545.268.110,106.494.269.165,203.976.613.164,542.016.150.439,231545268110.0,106494269165.0,203976613164.0,542016150439.0
Chi tiêu vốn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,-,-,-,503.988.090.772,,,,503988090772.0
Khấu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,128.422.294.311,101.239.389.606,104.499.546.195,334.161.230.112,128422294311.0,101239389606.0,104499546195.0,334161230112.0
Khấu hao tài sản cố định hữu hình không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,-,-,-,6.674.329.048,,,,6674329048.0
"Khấu hao tài sản cố định vô hình, lợi thể thương mại và chi phí trả trước dài hạn","Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khấu hao tài sản cố định vô hình, lợi thể thương mại và chi phí trả trước dài hạn","Khấu hao tài sản cố định vô hình, lợi thể thương mại và chi phí trả trước dài hạn",5.835.212.577,17.539.338.203,202.439.507.417,225.814.058.197,5835212577.0,17539338203.0,202439507417.0,225814058197.0
Khấu hao tài sản cố định vô hình và chi phí trả trước dài hạn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khấu hao tài sản cố định vô hình và chi phí trả trước dài hạn không phân bổ,Khấu hao tài sản cố định vô hình và chi phí trả trước dài hạn không phân bổ,-,-,-,183.799.207.018,,,,183799207018.0
