row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Gia vịVND,Thực phàmtiện lợi (*)VND,Đồ uống (*)VND,KhácVND,Hợp nhấtVND,numeric__Gia vịVND,numeric__Thực phàmtiện lợi (*)VND,numeric__Đồ uống (*)VND,numeric__KhácVND,numeric__Hợp nhấtVND
Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,5.646.133.836.572,4.141.969.337.151,3.388.624.227.274,35.197.642.830,13.211.925.043.827,5646133836572.0,4141969337151.0,3388624227274.0,35197642830.0,13211925043827.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,3.201.552.578.979,1.517.188.122.868,1.222.885.288.905,6.059.480.762,5.947.685.471.514,3201552578979.0,1517188122868.0,1222885288905.0,6059480762.0,5947685471514.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,2.399.143.141.280,650.685.998.053,101.487.979.916,6.059.480.762,3.157.376.600.011,2399143141280.0,650685998053.0,101487979916.0,6059480762.0,3157376600011.0
Chi phí quản lý doanh nghiệp không phân bổDoanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổDoanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổDoanh thu hoạt động tài chính,,,,,(390.296.594.992),,,,,-390296594992.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,1.151.095.979.529,,,,,1151095979529.0
,,,,,,,(483.121.282.748),,,,,-483121282748.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,3.435.054.701.800,,,,,3435054701800.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,4.260.887.581,,,,,4260887581.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(12.772.930.635),,,,,-12772930635.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,(525.824.973.429),,,,,-525824973429.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,2.900.717.685.317,,,,,2900717685317.0
"Kết quả kinh doanh của bộ phận là doanh thu thuần của bộ phận trừ giá vốn hàng bán của bộ phận, chi phí bán hàng và chi phí quản lý doanh nghiệp trực tiếp thuộc về bộ phận đó và chi phí bán hàng và chi phí quản lý doanh nghiệp gián tiếp được phân bổ dựa trên cơ sở hợp lý.","Kết quả kinh doanh của bộ phận là doanh thu thuần của bộ phận trừ giá vốn hàng bán của bộ phận, chi phí bán hàng và chi phí quản lý doanh nghiệp trực tiếp thuộc về bộ phận đó và chi phí bán hàng và chi phí quản lý doanh nghiệp gián tiếp được phân bổ dựa trên cơ sở hợp lý.","Kết quả kinh doanh của bộ phận là doanh thu thuần của bộ phận trừ giá vốn hàng bán của bộ phận, chi phí bán hàng và chi phí quản lý doanh nghiệp trực tiếp thuộc về bộ phận đó và chi phí bán hàng và chi phí quản lý doanh nghiệp gián tiếp được phân bổ dựa trên cơ sở hợp lý.","Kết quả kinh doanh của bộ phận là doanh thu thuần của bộ phận trừ giá vốn hàng bán của bộ phận, chi phí bán hàng và chi phí quản lý doanh nghiệp trực tiếp thuộc về bộ phận đó và chi phí bán hàng và chi phí quản lý doanh nghiệp gián tiếp được phân bổ dựa trên cơ sở hợp lý.","Kết quả kinh doanh của bộ phận là doanh thu thuần của bộ phận trừ giá vốn hàng bán của bộ phận, chi phí bán hàng và chi phí quản lý doanh nghiệp trực tiếp thuộc về bộ phận đó và chi phí bán hàng và chi phí quản lý doanh nghiệp gián tiếp được phân bổ dựa trên cơ sở hợp lý.","Kết quả kinh doanh của bộ phận là doanh thu thuần của bộ phận trừ giá vốn hàng bán của bộ phận, chi phí bán hàng và chi phí quản lý doanh nghiệp trực tiếp thuộc về bộ phận đó và chi phí bán hàng và chi phí quản lý doanh nghiệp gián tiếp được phân bổ dựa trên cơ sở hợp lý.","Kết quả kinh doanh của bộ phận là doanh thu thuần của bộ phận trừ giá vốn hàng bán của bộ phận, chi phí bán hàng và chi phí quản lý doanh nghiệp trực tiếp thuộc về bộ phận đó và chi phí bán hàng và chi phí quản lý doanh nghiệp gián tiếp được phân bổ dựa trên cơ sở hợp lý.","Kết quả kinh doanh của bộ phận là doanh thu thuần của bộ phận trừ giá vốn hàng bán của bộ phận, chi phí bán hàng và chi phí quản lý doanh nghiệp trực tiếp thuộc về bộ phận đó và chi phí bán hàng và chi phí quản lý doanh nghiệp gián tiếp được phân bổ dựa trên cơ sở hợp lý.",,,,,
Chi phí không phân bổ là chi phí quản lý doanh nghiệp mà Ban Giám đốc Công ty tin rằng không thể phân bổ các chi phí này một cách hợp lý cho từng bộ phận. Những chi phí này phát sinh ở cấp độ Tập đoàn.,Chi phí không phân bổ là chi phí quản lý doanh nghiệp mà Ban Giám đốc Công ty tin rằng không thể phân bổ các chi phí này một cách hợp lý cho từng bộ phận. Những chi phí này phát sinh ở cấp độ Tập đoàn.,Chi phí không phân bổ là chi phí quản lý doanh nghiệp mà Ban Giám đốc Công ty tin rằng không thể phân bổ các chi phí này một cách hợp lý cho từng bộ phận. Những chi phí này phát sinh ở cấp độ Tập đoàn.,Chi phí không phân bổ là chi phí quản lý doanh nghiệp mà Ban Giám đốc Công ty tin rằng không thể phân bổ các chi phí này một cách hợp lý cho từng bộ phận. Những chi phí này phát sinh ở cấp độ Tập đoàn.,Chi phí không phân bổ là chi phí quản lý doanh nghiệp mà Ban Giám đốc Công ty tin rằng không thể phân bổ các chi phí này một cách hợp lý cho từng bộ phận. Những chi phí này phát sinh ở cấp độ Tập đoàn.,Chi phí không phân bổ là chi phí quản lý doanh nghiệp mà Ban Giám đốc Công ty tin rằng không thể phân bổ các chi phí này một cách hợp lý cho từng bộ phận. Những chi phí này phát sinh ở cấp độ Tập đoàn.,Chi phí không phân bổ là chi phí quản lý doanh nghiệp mà Ban Giám đốc Công ty tin rằng không thể phân bổ các chi phí này một cách hợp lý cho từng bộ phận. Những chi phí này phát sinh ở cấp độ Tập đoàn.,Chi phí không phân bổ là chi phí quản lý doanh nghiệp mà Ban Giám đốc Công ty tin rằng không thể phân bổ các chi phí này một cách hợp lý cho từng bộ phận. Những chi phí này phát sinh ở cấp độ Tập đoàn.,,,,,
