row_label_raw,row_label_full,col_0,Nhà cửa VND,Nâng cấp tài sản thuê VND,Thiết bị văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Nâng cấp tài sản thuê VND,numeric__Thiết bị văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.024.775.104.570,10.622.457.648,54.463.116.431,2.621.959.990.570,31.726.050.086,3.743.546.719.305,1024775104570.0,10622457648.0,54463116431.0,2621959990570.0,31726050086.0,3743546719305.0
Tăng từ mua công ty con,Nguyên giá > Tăng từ mua công ty con,Tăng từ mua công ty con,-,-,66.966.491,7.431.656.488,524.491.466,8.023.114.445,,,66966491.0,7431656488.0,524491466.0,8023114445.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,103.114.200,-,153.933.036,1.647.581.616,725.712.000,2.630.340.852,103114200.0,,153933036.0,1647581616.0,725712000.0,2630340852.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,303.630.532.968,52.168.653.336,10.126.708.718,586.361.433.015,88.714.693,952.376.042.730,303630532968.0,52168653336.0,10126708718.0,586361433015.0,88714693.0,952376042730.0
Chuyển từ/(chuyển sang) chi phí trả trước dài hạn,Nguyên giá > Chuyển từ/(chuyển sang) chi phí trả trước dài hạn,Chuyển từ/(chuyển sang) chi phí trả trước dài hạn,(1.624.302.165),-,-,3.132.848.600,-,1.508.546.435,-1624302165.0,,,3132848600.0,,1508546435.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(1.930.414.206),-,(1.401.807.166),(8.370.427.853),(902.479.286),(12.605.128.511),-1930414206.0,,-1401807166.0,-8370427853.0,-902479286.0,-12605128511.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,-,(598.548.261),-,(598.548.261),,,,-598548261.0,,-598548261.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.324.954.035.367,62.791.110.984,63.408.917.510,3.211.564.534.175,32.162.488.959,4.694.881.086.995,1324954035367.0,62791110984.0,63408917510.0,3211564534175.0,32162488959.0,4694881086995.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,169.394.043.997,9.215.700.908,26.115.841.837,931.850.243.550,14.349.604.126,1.150.925.434.418,169394043997.0,9215700908.0,26115841837.0,931850243550.0,14349604126.0,1150925434418.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,66.996.045.822,10.268.545.627,8.055.093.576,334.417.078.351,4.096.414.770,423.833.178.146,66996045822.0,10268545627.0,8055093576.0,334417078351.0,4096414770.0,423833178146.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(1.604.733.941),-,(1.376.689.570),(7.644.861.631),(763.053.166),(11.389.338.308),-1604733941.0,,-1376689570.0,-7644861631.0,-763053166.0,-11389338308.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,-,-,(598.548.261),-,(598.548.261),,,,-598548261.0,,-598548261.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,234.785.355.878,19.484.246.535,32.794.245.843,1.258.023.912.009,17.682.965.730,1.562.770.725.995,234785355878.0,19484246535.0,32794245843.0,1258023912009.0,17682965730.0,1562770725995.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,855.381.060.573,1.406.756.740,28.347.274.594,1.690.109.747.020,17.376.445.960,2.592.621.284.887,855381060573.0,1406756740.0,28347274594.0,1690109747020.0,17376445960.0,2592621284887.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.090.168.679.489,43.306.864.449,30.614.671.667,1.953.540.622.166,14.479.523.229,3.132.110.361.000,1090168679489.0,43306864449.0,30614671667.0,1953540622166.0,14479523229.0,3132110361000.0
