row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,23.444.375.237,-,23.444.375.237,23444375237.0,,23444375237.0
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,361.699.396,-,361.699.396,361699396.0,,361699396.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,20.893.841.858,-,20.893.841.858,20893841858.0,,20893841858.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,394.448.888,-,394.448.888,394448888.0,,394448888.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,4.437.565.909,-,4.437.565.909,4437565909.0,,4437565909.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,1.573.379.697,-,1.573.379.697,1573379697.0,,1573379697.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,1.614.397.960,-,1.614.397.960,1614397960.0,,1614397960.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,8.023.114.445,-,8.023.114.445,8023114445.0,,8023114445.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,512.819.546,-,512.819.546,512819546.0,,512819546.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,1.203.165.220,-,1.203.165.220,1203165220.0,,1203165220.0
Tài sản thuế hoãn lại,Tài sản thuế hoãn lại,Tài sản thuế hoãn lại,28.466.036,-,28.466.036,28466036.0,,28466036.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(575.538.404),-,(575.538.404),-575538404.0,,-575538404.0
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,(111.135.384),-,(111.135.384),-111135384.0,,-111135384.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,(412.231.529),-,(412.231.529),-412231529.0,,-412231529.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,(1.567.029.008),-,(1.567.029.008),-1567029008.0,,-1567029008.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(616.759.903),-,(616.759.903),-616759903.0,,-616759903.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(50.000.000.000),-,(50.000.000.000),-50000000000.0,,-50000000000.0
Tổng tài sản thuần có thể xác định được mua,Tổng tài sản thuần có thể xác định được mua,Tổng tài sản thuần có thể xác định được mua,9.204.579.964,-,9.204.579.964,9204579964.0,,9204579964.0
Phần tài sản thuần được mua,Phần tài sản thuần được mua,Phần tài sản thuần được mua,,,7.823.892.969,,,7823892969.0
Lợi thế thương mại phát sinh từ việc mua lại (Thuyết minh 18),Lợi thế thương mại phát sinh từ việc mua lại (Thuyết minh 18),Lợi thế thương mại phát sinh từ việc mua lại (Thuyết minh 18),,,27.176.107.031,,,27176107031.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,35.000.000.000,,,35000000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,(23.444.375.237),,,-23444375237.0
Tiền thuần chi ra,Tiền thuần chi ra,Tiền thuần chi ra,,,11.555.624.763,,,11555624763.0
