row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Phải thu từ khách hàng,Phải thu từ khách hàng,Phải thu từ khách hàng,56.614.686.596,32.442.681.930,56614686596.0,32442681930.0
- Công ty TNHH Đầu tư Thương mại Xuất Nhập Khẩu Đại Hưng Thịnh,- Công ty TNHH Đầu tư Thương mại Xuất Nhập Khẩu Đại Hưng Thịnh,- Công ty TNHH Đầu tư Thương mại Xuất Nhập Khẩu Đại Hưng Thịnh,8.525.871.964,1.108.879.602,8525871964.0,1108879602.0
- Công ty TNHH Đầu tư và Thương mại Hưng Vạn Phát,- Công ty TNHH Đầu tư và Thương mại Hưng Vạn Phát,- Công ty TNHH Đầu tư và Thương mại Hưng Vạn Phát,7.739.413.967,-,7739413967.0,
- Công ty Cổ phần Ecoland,- Công ty Cổ phần Ecoland,- Công ty Cổ phần Ecoland,4.518.148.976,2.938.831.198,4518148976.0,2938831198.0
- Công ty TNHH Hoàng Đại Vương,- Công ty TNHH Hoàng Đại Vương,- Công ty TNHH Hoàng Đại Vương,3.147.710.706,2.250.384.400,3147710706.0,2250384400.0
- Công ty TNHH MDF Phương Anh,- Công ty TNHH MDF Phương Anh,- Công ty TNHH MDF Phương Anh,2.031.367.278,-,2031367278.0,
- Công ty TNHH Gỗ Trung Nguyên,- Công ty TNHH Gỗ Trung Nguyên,- Công ty TNHH Gỗ Trung Nguyên,1.018.556.640,2.546.912.610,1018556640.0,2546912610.0
- Các khoản phải thu khách hàng khác,- Các khoản phải thu khách hàng khác,- Các khoản phải thu khách hàng khác,29.633.617.065,23.597.674.120,29633617065.0,23597674120.0
Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 30),Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 30),Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 30),86.432.152.825,71.585.974.730,86432152825.0,71585974730.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,143.046.839.421,104.028.656.660,143046839421.0,104028656660.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(6.318.185.201),(4.808.292.103),-6318185201.0,-4808292103.0
