row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8)_1,numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8)_1
Công ty TNHH MTVVán dán VinaforBắc Giang,Công ty TNHH MTVVán dán VinaforBắc Giang,Công ty TNHH MTVVán dán VinaforBắc Giang,Công ty con,Phải thu lãi vay,11.045.545.992,5.883.297.087,,,11045545992.0,5883297087.0
Công ty TNHH MTVLâm nghiệp LộcBình,Công ty TNHH MTVLâm nghiệp LộcBình,Công ty TNHH MTVLâm nghiệp LộcBình,Công ty con,Phải thu lãi vay,4.268.225.449,2.280.603.836,,,4268225449.0,2280603836.0
Công ty TNHH MTVChế biển gỗ và đảm gỗ Dung Quát,Công ty TNHH MTVChế biển gỗ và đảm gỗ Dung Quát,Công ty TNHH MTVChế biển gỗ và đảm gỗ Dung Quát,Công ty con,Phải thu lãi vay,4.213.977.469,3.267.617.502,,,4213977469.0,3267617502.0
Công ty TNHH MTVLâm nghiệp ĐìnhLập,Công ty TNHH MTVLâm nghiệp ĐìnhLập,Công ty TNHH MTVLâm nghiệp ĐìnhLập,Công ty con,Phải thu lãi,2.633.335.755,872.701.907,,,2633335755.0,872701907.0
Công ty TNHH MTVLâm nghiệp La Ngà- Đồng Nai,Công ty TNHH MTVLâm nghiệp La Ngà- Đồng Nai,Công ty TNHH MTVLâm nghiệp La Ngà- Đồng Nai,Công ty con,Phải thu cổ tứcđược chia và lãi vay,1.873.997.075,1.341.983.377,,,1873997075.0,1341983377.0
Công ty TNHH MTVLâm nghiệp Ba tơ,Công ty TNHH MTVLâm nghiệp Ba tơ,Công ty TNHH MTVLâm nghiệp Ba tơ,Công ty con,Phải thu cổ tức vàlợi nhuận được chia,1.247.657.827,1.178.157.079,,,1247657827.0,1178157079.0
Công ty Cổ phầnThương mại lâm sản Hà Nội,Công ty Cổ phầnThương mại lâm sản Hà Nội,Công ty Cổ phầnThương mại lâm sản Hà Nội,Công ty liênkết,Phải thu về cổ phầnhóa và lợi nhuậnđược chia,935.811.705,935.811.705,,,935811705.0,935811705.0
Công ty Cổ phầnGiống Lâm nghiệpVùng Đông Bắc,Công ty Cổ phầnGiống Lâm nghiệpVùng Đông Bắc,Công ty Cổ phầnGiống Lâm nghiệpVùng Đông Bắc,Công ty con,Phải thu lãi vay,689.127.326,611.527.326,,,689127326.0,611527326.0
Công ty Cổ phầnVinafor Tây Nguyên,Công ty Cổ phầnVinafor Tây Nguyên,Công ty Cổ phầnVinafor Tây Nguyên,Công ty con,Phải thu về cổ phầnhóa và lãi vay,444.946.041,444.946.041,,,444946041.0,444946041.0
Công ty Cổ phầnGiống Lâm nghiệpVùng Bắc Bộ,Công ty Cổ phầnGiống Lâm nghiệpVùng Bắc Bộ,Công ty Cổ phầnGiống Lâm nghiệpVùng Bắc Bộ,Công ty con,Phải thu lợi nhuậnđược chia và lãi vay,187.313.081,169.728.726,,,187313081.0,169728726.0
Công ty CP SX &XNK Lâm sản SàiGòn,Công ty CP SX &XNK Lâm sản SàiGòn,Công ty CP SX &XNK Lâm sản SàiGòn,Công ty con,Phải thu lãi vay,236.691.773,-,,,236691773.0,
Công ty Cổ phầnLâm đặc sản vàXNK Hà Tĩnh,Công ty Cổ phầnLâm đặc sản vàXNK Hà Tĩnh,Công ty Cổ phầnLâm đặc sản vàXNK Hà Tĩnh,Công ty con,Phải thu lãi vay,174.618.103,56.144.171,,,174618103.0,56144171.0
Công ty CP Gỗ lạngBuôn Ma Thuột,Công ty CP Gỗ lạngBuôn Ma Thuột,Công ty CP Gỗ lạngBuôn Ma Thuột,Công ty liênkết,Phải thu cổ tức vàlợi nhuận được chia,168.000.000,-,,,168000000.0,
Công ty Cổ phần tưvấn và đầu tưForprodex,Công ty Cổ phần tưvấn và đầu tưForprodex,Công ty Cổ phần tưvấn và đầu tưForprodex,Công ty liênkết (đền ngày4 tháng 4 năm2022),Phải thu về cổ phầnhóa,-,2.119.700.000,,,,2119700000.0
Công ty Cổ phầnGiống Lâm nghiệpVùng Nam Bộ,Công ty Cổ phầnGiống Lâm nghiệpVùng Nam Bộ,Công ty Cổ phầnGiống Lâm nghiệpVùng Nam Bộ,Công ty con,Phải thu cổ tứcđược chia,-,1.530.000.000,,,,1530000000.0
Công ty Cổ phầnGiống lâm nghiệpVùng Nam Trung Bộ,Công ty Cổ phầnGiống lâm nghiệpVùng Nam Trung Bộ,Công ty Cổ phầnGiống lâm nghiệpVùng Nam Trung Bộ,Công ty con,Phải thu lợi nhuậnđược chia,-,62.645.000,,,,62645000.0
