row_label_raw,row_label_full,Họ tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
,,,,Năm nay,Năm trước,,,
Phí Mạnh Cường,Phí Mạnh Cường,Phí Mạnh Cường,Chủ tịch HĐQT,2.099.382.259,1.772.229.267,,2099382259.0,1772229267.0
Đỗ Ngọc Khanh,Đỗ Ngọc Khanh,Đỗ Ngọc Khanh,Phó chủ tịch HĐQT,1.703.279.814,1.462.331.420,,1703279814.0,1462331420.0
Lê Quốc Khánh,Lê Quốc Khánh,Lê Quốc Khánh,Tổng giám đốc,1.961.090.110,1.656.413.986,,1961090110.0,1656413986.0
Nguyễn Tấn Cường,Nguyễn Tấn Cường,Nguyễn Tấn Cường,Ủy viên HĐQT,1.407.921.518,1.193.152.858,,1407921518.0,1193152858.0
Nguyễn Trung Kiên,Nguyễn Trung Kiên,Nguyễn Trung Kiên,Ủy viên HĐQT,1.457.921.518,1.193.152.858,,1457921518.0,1193152858.0
Ngô Thị Thuỷ Mai,Ngô Thị Thuỷ Mai,Ngô Thị Thuỷ Mai,Phó Tổng Giám đốc,968.405.950,806.190.644,,968405950.0,806190644.0
Vũ Văn Hường,Vũ Văn Hường,Vũ Văn Hường,Phó Tổng Giám đốc,953.911.303,790.464.138,,953911303.0,790464138.0
Nguyễn Khương Lâm,Nguyễn Khương Lâm,Nguyễn Khương Lâm,Phó Tổng Giám đốc,901.961.870,365.556.431,,901961870.0,365556431.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,11.453.874.342,9.239.491.602,,11453874342.0,9239491602.0
