row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Nhận ký quỹ, ký cược ngắn hạn","Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",9.892.720.610,9.496.720.610,9892720610.0,9496720610.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,6.551.503.825,6.382.824.376,6551503825.0,6382824376.0
"Kinh phí đo đạc, cắm móc, cấp giấy chứng nhận quyền sử dụng đất (*)","Ngắn hạn > Kinh phí đo đạc, cắm móc, cấp giấy chứng nhận quyền sử dụng đất (*)","Kinh phí đo đạc, cắm móc, cấp giấy chứng nhận quyền sử dụng đất (*)",3.127.120.559,5.598.060.084,3127120559.0,5598060084.0
Phải trả cổ tức,Ngắn hạn > Phải trả cổ tức,Phải trả cổ tức,32.488.720,29.282.660,32488720.0,29282660.0
Phải trả phải nộp khác,Ngắn hạn > Phải trả phải nộp khác,Phải trả phải nộp khác,12.859.255.565,13.309.585.787,12859255565.0,13309585787.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,32.463.089.279,34.816.473.517,32463089279.0,34816473517.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác các bên khác,Trong đó: > Phải trả ngắn hạn khác các bên khác,Phải trả ngắn hạn khác các bên khác,32.453.124.167,34.806.508.405,32453124167.0,34806508405.0
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),9.965.112,9.965.112,9965112.0,9965112.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",11.913.342.335,10.743.073.781,11913342335.0,10743073781.0
Phải trả ngắn hạn khác cho các bên liên quan,Dài hạn > Phải trả ngắn hạn khác cho các bên liên quan,Phải trả ngắn hạn khác cho các bên liên quan,1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,13.128.878.015,11.958.609.461,13128878015.0,11958609461.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác các bên khác,Trong đó: > Phải trả dài hạn khác các bên khác,Phải trả dài hạn khác các bên khác,11.913.342.335,10.743.073.781,11913342335.0,10743073781.0
Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 30),Trong đó: > Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 30),Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 30),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
