row_label_raw,row_label_full,col_0,Nhà cửa,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,167.341.644.075,50.854.067.382,218.195.711.457,167341644075.0,50854067382.0,218195711457.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,167.341.644.075,50.854.067.382,218.195.711.457,167341644075.0,50854067382.0,218195711457.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,14.182.576.803,-,14.182.576.803,14182576803.0,,14182576803.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,46.036.672.817,43.224.536.855,89.261.209.672,46036672817.0,43224536855.0,89261209672.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,4.625.168.328,4.140.799.374,8.765.967.702,4625168328.0,4140799374.0,8765967702.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,50.661.841.145,47.365.336.229,98.027.177.374,50661841145.0,47365336229.0,98027177374.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,121.304.971.258,7.629.530.527,128.934.501.785,121304971258.0,7629530527.0,128934501785.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,116.679.802.930,3.488.731.153,120.168.534.083,116679802930.0,3488731153.0,120168534083.0
