row_label_raw,row_label_full,Bên liên quan > Phải thu dài hạn khác(Thuyết minh số 8),Mối quanhệ > Phải thu dài hạn khác(Thuyết minh số 8),Nội dungnghiệp vụ > Phải thu dài hạn khác(Thuyết minh số 8),Số cuối năm > Phải thu dài hạn khác(Thuyết minh số 8),Số đầu năm > Phải thu dài hạn khác(Thuyết minh số 8),numeric__Mối quanhệ > Phải thu dài hạn khác(Thuyết minh số 8),numeric__Nội dungnghiệp vụ > Phải thu dài hạn khác(Thuyết minh số 8),numeric__Số cuối năm > Phải thu dài hạn khác(Thuyết minh số 8),numeric__Số đầu năm > Phải thu dài hạn khác(Thuyết minh số 8)
Công ty CP giống Lâmnghiệp vùng Bắc Bộ,Công ty CP giống Lâmnghiệp vùng Bắc Bộ,Công ty CP giống Lâmnghiệp vùng Bắc Bộ,Công ty con,Phải thu lãi vay,69.386.301,-,,,69386301.0,
Công ty TNHH một thànhviên Lâm nghiệp Lộc Bình,Công ty TNHH một thànhviên Lâm nghiệp Lộc Bình,Công ty TNHH một thànhviên Lâm nghiệp Lộc Bình,Công ty con,Phải thu lãi vay,655.580.456,-,,,655580456.0,
Công ty CP Lâm đặc sảnvà XNK Hà Tĩnh,Công ty CP Lâm đặc sảnvà XNK Hà Tĩnh,Công ty CP Lâm đặc sảnvà XNK Hà Tĩnh,Công ty con,Phải thu lãi vay,14.205.353,-,,,14205353.0,
,,,,,739.172.110,-,,,739172110.0,
Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),,,,
Công ty TNHH MTV Lâmnghiệp Lộc Bình,Phải trả ngắn hạn khác(Thuyết minh số 19) > Công ty TNHH MTV Lâmnghiệp Lộc Bình,Công ty TNHH MTV Lâmnghiệp Lộc Bình,Công ty con,Phải trả ngắn hạn khác,9.965.112,9.965.112,,,9965112.0,9965112.0
,,,,,9.965.112,9.965.112,,,9965112.0,9965112.0
Phải trả dài hạn khác(Thuyết minh số 19),Phải trả dài hạn khác(Thuyết minh số 19),Phải trả dài hạn khác(Thuyết minh số 19),Phải trả dài hạn khác(Thuyết minh số 19),Phải trả dài hạn khác(Thuyết minh số 19),Phải trả dài hạn khác(Thuyết minh số 19),Phải trả dài hạn khác(Thuyết minh số 19),,,,
Công ty TNHH YamahaMotor Việt Nam,Phải trả dài hạn khác(Thuyết minh số 19) > Công ty TNHH YamahaMotor Việt Nam,Công ty TNHH YamahaMotor Việt Nam,Công ty liênkết,Đặt cọc thuêvăn phòng,1.215.535.680,1.215.535.680,,,1215535680.0,1215535680.0
,,,,,1.215.535.680,1.215.535.680,,,1215535680.0,1215535680.0
