row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công cụ dụng cụ chờ phân bổ,Ngắn hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,319.002.811,119.354.843,319002811.0,119354843.0
Chi phí mua bảo hiểm,Ngắn hạn > Chi phí mua bảo hiểm,Chi phí mua bảo hiểm,102.926.284,104.536.327,102926284.0,104536327.0
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,-,606.362.573,,606362573.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,421.929.095,830.253.743,421929095.0,830253743.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí sửa chữa tài sản cố định,Dài hạn > Chi phí sửa chữa tài sản cố định,Chi phí sửa chữa tài sản cố định,16.997.272.443,-,16997272443.0,
Công cụ dụng cụ chờ phân bổ,Dài hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,181.749.137,292.086.042,181749137.0,292086042.0
Các khoản khác,Dài hạn > Các khoản khác,Các khoản khác,279.488.767,421.804.839,279488767.0,421804839.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,17.458.510.347,713.890.881,17458510347.0,713890881.0
