row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,21.475.798.076,1.387.700.000,22.899.451.182,45.762.949.258,21475798076.0,1387700000.0,22899451182.0,45762949258.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,21.475.798.076,1.387.700.000,22.899.451.182,45.762.949.258,21475798076.0,1387700000.0,22899451182.0,45762949258.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,-,1.277.700.000,20.119.251.983,21.396.951.983,,1277700000.0,20119251983.0,21396951983.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,4.015.595.106,1.189.245.333,21.870.210.331,27.075.050.770,4015595106.0,1189245333.0,21870210331.0,27075050770.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,388.103.964,123.176.875,101.285.424,612.566.263,388103964.0,123176875.0,101285424.0,612566263.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,4.403.699.070,1.312.422.208,21.971.495.755,27.687.617.033,4403699070.0,1312422208.0,21971495755.0,27687617033.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,17.460.202.970,198.454.667,1.029.240.851,18.687.898.488,17460202970.0,198454667.0,1029240851.0,18687898488.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,17.072.099.006,75.277.792,927.955.427,18.075.332.225,17072099006.0,75277792.0,927955427.0,18075332225.0
