row_label_raw,row_label_full,Bên liên quan,Mối quanhệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quanhệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty Cổ phầnLâm đặc sản vàXNK Hà Tĩnh,Công ty Cổ phầnLâm đặc sản vàXNK Hà Tĩnh,Công ty Cổ phầnLâm đặc sản vàXNK Hà Tĩnh,Công ty con,Cho vayThu hồi gốc vayChuyển tiền hỗ trợLãi cho vayThu tiền lãi vayThanh lý xe ô tô,3.950.046.7201.000.0000201.000.000143.059.55910.380.274201.930.000,3.316.664.5001.700.000.000156.000.00081.760.33625.616.165-,,,3.9500467201e+52,
Công ty Cổ phầnSản xuất và XNKLâm sản Sài Gòn,Công ty Cổ phầnSản xuất và XNKLâm sản Sài Gòn,Công ty Cổ phầnSản xuất và XNKLâm sản Sài Gòn,Công ty con,Chuyển tiền vay vốnlưu độngChuyển tiền hỗ trợ,15.880.973.766495.000.000,298.000.0008.000.000,,,1.5880973766495e+19,2980000008000000.0
Công ty Cổ phầnVinafor Đà Nẵng,Công ty Cổ phầnVinafor Đà Nẵng,Công ty Cổ phầnVinafor Đà Nẵng,Công ty con,Chuyển tiền hỗ trợ,679.000.000,489.500.000,,,679000000.0,489500000.0
Công ty Cổ phầngiống Lâmnghiệp vùng BắcTrung Bộ,Công ty Cổ phầngiống Lâmnghiệp vùng BắcTrung Bộ,Công ty Cổ phầngiống Lâmnghiệp vùng BắcTrung Bộ,Công ty con,Doanh thu bán hàng vàcung cấp dịch vụChuyển tiền hỗ trợ,-72.000.000,199.615.00082.500.000,,,-72000000.0,1.99615000825e+16
Công ty Cổ phầngiống Lâmnghiệp vùng Tâynguyên,Công ty Cổ phầngiống Lâmnghiệp vùng Tâynguyên,Công ty Cổ phầngiống Lâmnghiệp vùng Tâynguyên,Công ty con,Chuyển tiền hỗ trợ,32.000.000,25.000.000,,,32000000.0,25000000.0
Công ty Cổ phầnGiống Lâmnghiệp vùngĐồng Bắc,Công ty Cổ phầnGiống Lâmnghiệp vùngĐồng Bắc,Công ty Cổ phầnGiống Lâmnghiệp vùngĐồng Bắc,Công ty con,Cho vayChuyển tiền hỗ trợLãi cho vay,-105.000.00077.600.000,1.100.000.000105.000.00019.875.616,,,-1.05000000776e+16,1.100000000105e+26
Công ty Cổ phầnVinafor Vĩnh,Công ty Cổ phầnVinafor Vĩnh,Công ty Cổ phầnVinafor Vĩnh,Công ty con,Chuyển tiền hỗ trợ,69.000.000,58.500.000,,,69000000.0,58500000.0
Công ty cổ phầnVinafor TâyNguyên,Công ty cổ phầnVinafor TâyNguyên,Công ty cổ phầnVinafor TâyNguyên,Công ty con,Chuyển tiền hỗ trợ,12.000.000,87.723.819,,,12000000.0,87723819.0
Công ty TNHHMTV Lâm nghiệpLộc Bình,Công ty TNHHMTV Lâm nghiệpLộc Bình,Công ty TNHHMTV Lâm nghiệpLộc Bình,Công ty con,Cho vay vốnLãi cho vayChuyển tiền hỗ trợ,14.694.600.0002.643.202.069267.000.000,23.000.000.0001.859.439.452267.000.000,,,1.469460000026432e+29,2.3000000000185943e+29
Công ty TNHHMTV Lâmnghiệp Đình Lập,Công ty TNHHMTV Lâmnghiệp Đình Lập,Công ty TNHHMTV Lâmnghiệp Đình Lập,Công ty con,Cho vay vốnLãi cho vayDoanh thu bán hàng vàcung cấp dịch vụThu tiền bán hàngChuyển tiền hỗ trợThanh lý xe ô tô,16.861.000.0001.760.633.848187.424.000424.523.000245.000.000165.370.000,16.508.999.0001.859.439.452327.059.000-233.000.000-,,,1.6861000000176062e+56,
Công ty TNHHMTV Ván dánVinafor BắcGiang,Công ty TNHHMTV Ván dánVinafor BắcGiang,Công ty TNHHMTV Ván dánVinafor BắcGiang,Công ty con,"Thu hồi gốc vayLãi tiền cho vay, tiềngthửiChuyển tiền hỗ trợ",22.574.652.0685.161.245.4422.000.000,16.361.000.0006.207.045.202250.442.639,,,2.2574652068516124e+27,1.6361000000620703e+29
