row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND Số đầu năm(Trình bày lại),Đơn vị tính: VND Số đầu năm(Trình bày lại)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND Số đầu năm(Trình bày lại),numeric__Đơn vị tính: VND Số đầu năm(Trình bày lại)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng đang đi đường,Hàng đang đi đường,Hàng đang đi đường,8.018.721.184,-,25.815.620.173,-,8018721184.0,,25815620173.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",29.659.222.377,-,31.012.424.077,-,29659222377.0,,31012424077.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",298.331.689,-,630.676.308,-,298331689.0,,630676308.0,
Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),235.353.144.793,(12.422.939.377),228.748.057.582,(11.318.037.079),235353144793.0,-12422939377.0,228748057582.0,-11318037079.0
Dự án Eco Lakeview (**),Dự án Eco Lakeview (**),Dự án Eco Lakeview (**),129.470.804.430,-,148.946.243.456,-,129470804430.0,,148946243456.0,
Thành phẩm,Thành phẩm,Thành phẩm,34.709.690.594,(37.712.794),17.511.881.620,(7.987.558),34709690594.0,-37712794.0,17511881620.0,-7987558.0
Hàng hóa,Hàng hóa,Hàng hóa,36.592.575.228,(1.680.280.098),42.442.780.807,-,36592575228.0,-1680280098.0,42442780807.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,474.102.490.295,(14.140.932.269),495.107.684.023,(11.326.024.637),474102490295.0,-14140932269.0,495107684023.0,-11326024637.0
