row_label_raw,row_label_full,col_0,Hoạt động khai thác trồng rừng,Hoạt động thương mại,Sản xuất và kinh doanh MDF,Hoạt động cung cấp dịch vụ,Hoạt động khác,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Hoạt động khai thác trồng rừng,numeric__Hoạt động thương mại,numeric__Sản xuất và kinh doanh MDF,numeric__Hoạt động cung cấp dịch vụ,numeric__Hoạt động khác,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
,,,Hoạt động khai thác trồng rừng,Hoạt động thương mại,Sản xuất và kinh doanh MDF,Hoạt động cung cấp dịch vụ,Hoạt động khác,Loại trừ,Tổng cộng,,,,,,,
Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,,,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,28.128.431.060,681.798.152.208,181.485.066.369,68.436.389.044,47.120.780.390,-,1.006.968.819.071,28128431060.0,681798152208.0,181485066369.0,68436389044.0,47120780390.0,,1006968819071.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,,,,,,,-,,,,,,,
Tổng doanh thu,Doanh thu từ bán hàng cho các bộ phận > Tổng doanh thu,Tổng doanh thu,28.128.431.060,681.798.152.208,181.485.066.369,68.436.389.044,47.120.780.390,-,1.006.968.819.071,28128431060.0,681798152208.0,181485066369.0,68436389044.0,47120780390.0,,1006968819071.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,7.324.236.437,5.088.659.239,44.056.832.880,28.371.718.603,19.858.434.556,-,104.699.881.715,7324236437.0,5088659239.0,44056832880.0,28371718603.0,19858434556.0,,104699881715.0
"Thu nhập, chi phí không phân bổ (i)","Kết quả > Thu nhập, chi phí không phân bổ (i)","Thu nhập, chi phí không phân bổ (i)",,,,,,,245.657.571.384,,,,,,,245657571384.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,350.357.453.099,,,,,,,350357453099.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,(19.531.541.864),,,,,,,-19531541864.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,330.825.911.235,,,,,,,330825911235.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,160.719.091.086,44.497.996.334,139.414.598.445,120.168.534.083,129.470.804.430,-,594.271.024.378,160719091086.0,44497996334.0,139414598445.0,120168534083.0,129470804430.0,,594271024378.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,,,3.603.409.930.205,,,,,,,3603409930205.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,,4.197.680.954.583,,,,,,,4197680954583.0
Nợ phải trả bộ phận,Tài sản và công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.645.069.967,15.974.679.554,6.045.389.296,6.746.418.238,933.408.565,-,32.344.965.620,2645069967.0,15974679554.0,6045389296.0,6746418238.0,933408565.0,,32344965620.0
Nợ phải trả không phân bổ (iii),Tài sản và công nợ > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,173.914.465.420,,,,,,,173914465420.0
Tổng nợ phải trả,Tài sản và công nợ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,206.259.431.040,,,,,,,206259431040.0
