row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị thuần,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Đơn vị tính: VND > Giá trị thuần,numeric__col_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị thuần,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Đơn vị tính: VND > Giá trị thuần
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,,
1,Đầu tư vào công ty liên kết > 1,1,Công ty TNHH Yamaha Motor Việt Nam (i),226.814.236.519,-,226.814.236.519,241.091.839.143,-,241.091.839.143,,226814236519.0,,226814236519.0,241091839143.0,,241091839143.0
2,Đầu tư vào công ty liên kết > 2,2,Công ty TNHH Việt Thành Thái,44.899.768.758,-,44.899.768.758,44.899.768.758,-,44.899.768.758,,44899768758.0,,44899768758.0,44899768758.0,,44899768758.0
3,Đầu tư vào công ty liên kết > 3,3,Công ty TNHH Năng lượng tái tạo UNI-VINAFOR Châu Đức (ii),28.716.709.000,-,28.716.709.000,-,-,-,,28716709000.0,,28716709000.0,,,
4,Đầu tư vào công ty liên kết > 4,4,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,26.139.084.964,-,26.139.084.964,26.139.084.964,-,26.139.084.964,,26139084964.0,,26139084964.0,26139084964.0,,26139084964.0
5,Đầu tư vào công ty liên kết > 5,5,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,22.525.816.641,-,22.525.816.641,22.525.816.641,-,22.525.816.641,,22525816641.0,,22525816641.0,22525816641.0,,22525816641.0
6,Đầu tư vào công ty liên kết > 6,6,Công ty Liên doanh Nuôi và Phát triển Khỉ Việt Nam (i),17.074.721.221,-,17.074.721.221,17.450.126.423,-,17.450.126.423,,17074721221.0,,17074721221.0,17450126423.0,,17450126423.0
7,Đầu tư vào công ty liên kết > 7,7,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,12.401.394.337,-,12.401.394.337,12.401.394.337,(4.243.664.572),8.157.729.765,,12401394337.0,,12401394337.0,12401394337.0,-4243664572.0,8157729765.0
8,Đầu tư vào công ty liên kết > 8,8,Công ty Cổ phần Cơ Đò,11.525.782.967,-,11.525.782.967,11.525.782.967,-,11.525.782.967,,11525782967.0,,11525782967.0,11525782967.0,,11525782967.0
9,Đầu tư vào công ty liên kết > 9,9,Công ty Cổ phần Lâm nghiệp 19,8.054.284.341,-,8.054.284.341,8.054.284.341,-,8.054.284.341,,8054284341.0,,8054284341.0,8054284341.0,,8054284341.0
10,Đầu tư vào công ty liên kết > 10,10,Công ty TNHH Nguyên liệu giấy Quy Nhơn,5.787.821.081,-,5.787.821.081,5.787.821.081,-,5.787.821.081,,5787821081.0,,5787821081.0,5787821081.0,,5787821081.0
11,Đầu tư vào công ty liên kết > 11,11,Công ty Cổ phần Thương mại lâm sản Hà Nội,5.400.000.000,(5.400.000.000),-,5.400.000.000,(5.400.000.000),-,,5400000000.0,-5400000000.0,,5400000000.0,-5400000000.0,
12,Đầu tư vào công ty liên kết > 12,12,Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,3.169.651.235,(3.169.651.235),-,3.169.651.235,(3.169.651.235),-,,3169651235.0,-3169651235.0,,3169651235.0,-3169651235.0,
13,Đầu tư vào công ty liên kết > 13,13,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,3.063.845.562,-,3.063.845.562,3.063.845.562,-,3.063.845.562,,3063845562.0,,3063845562.0,3063845562.0,,3063845562.0
14,Đầu tư vào công ty liên kết > 14,14,Công ty Cổ phần Gỗ Iạng Buôn Ma Thuột,2.570.995.921,-,2.570.995.921,2.570.995.921,-,2.570.995.921,,2570995921.0,,2570995921.0,2570995921.0,,2570995921.0
15,Đầu tư vào công ty liên kết > 15,15,Công ty Cổ phần 19/5 Đoàn Hùng,2.139.792.559,-,2.139.792.559,2.139.792.559,-,2.139.792.559,,2139792559.0,,2139792559.0,2139792559.0,,2139792559.0
16,Đầu tư vào công ty liên kết > 16,16,Công ty Cổ phần Kon Hà những,1.945.917.957,-,1.945.917.957,1.945.917.957,-,1.945.917.957,,1945917957.0,,1945917957.0,1945917957.0,,1945917957.0
