row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu lãi tiền gửi ngân hàng,Ngắn hạn > Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,53.180.998.909,-,54.037.473.295,-,53180998909.0,,54037473295.0,
Phải thu cổ tức và lợi nhuận được chia,Ngắn hạn > Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,3.051.680.312,-,4.377.239.371,-,3051680312.0,,4377239371.0,
Phải thu về cổ phần hóa các công ty con và liên kết,Ngắn hạn > Phải thu về cổ phần hóa các công ty con và liên kết,Phải thu về cổ phần hóa các công ty con và liên kết,1.097.766.635,(296.954.930),3.217.466.635,(2.416.654.930),1097766635.0,-296954930.0,3217466635.0,-2416654930.0
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,24.177.839.167,(2.961.380.297),13.358.716.812,(937.118.053),24177839167.0,-2961380297.0,13358716812.0,-937118053.0
Tạm ứng cho cán bộ công nhân viên,Ngắn hạn > Tạm ứng cho cán bộ công nhân viên,Tạm ứng cho cán bộ công nhân viên,4.890.032.482,-,2.626.170.352,-,4890032482.0,,2626170352.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,3.353.964.044,(1.081.361.157),4.864.396.213,(1.458.656.604),3353964044.0,-1081361157.0,4864396213.0,-1458656604.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,89.752.281.549,(4.339.696.384),82.481.462.678,(4.812.429.587),89752281549.0,-4339696384.0,82481462678.0,-4812429587.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu ngắn hạn khác,Trong đó: > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,61.633.033.953,(1.081.361.157),61.726.598.921,(1.582.330.814),61633033953.0,-1081361157.0,61726598921.0,-1582330814.0
Phải thu ngắn hạn khác từ bên liên quan (Thuyết minh số 30),Trong đó: > Phải thu ngắn hạn khác từ bên liên quan (Thuyết minh số 30),Phải thu ngắn hạn khác từ bên liên quan (Thuyết minh số 30),28.119.247.596,(3.258.335.227),20.754.863.757,(3.230.098.773),28119247596.0,-3258335227.0,20754863757.0,-3230098773.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,
Phải thu lãi cho vay,Dải hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,739.172.110,-,-,-,739172110.0,,,
"Ký quỹ, ký cược dài hạn","Dải hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",1.518.836.600,-,1.517.739.100,-,1518836600.0,,1517739100.0,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,2.258.008.710,-,1.517.739.100,-,2258008710.0,,1517739100.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu dài hạn khác,Trong đó: > Phải thu dài hạn khác,Phải thu dài hạn khác,1.518.836.600,-,1.517.739.100,-,1518836600.0,,1517739100.0,
Phải thu dài hạn khác từ bên liên quan (Thuyết minh số 30),Trong đó: > Phải thu dài hạn khác từ bên liên quan (Thuyết minh số 30),Phải thu dài hạn khác từ bên liên quan (Thuyết minh số 30),739.172.110,-,-,-,739172110.0,,,
