row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước(Trình bày lại),numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước(Trình bày lại)
Số đầu kỳ,Số đầu kỳ,Số đầu kỳ,11.326.024.637,11.074.126.697,11326024637.0,11074126697.0
Cộng: Dự phòng trích lập trong năm,Cộng: Dự phòng trích lập trong năm,Cộng: Dự phòng trích lập trong năm,4.044.429.485,1.206.796.526,4044429485.0,1206796526.0
Trừ: Hoàn nhập và sử dụng dự phòng trong năm,Trừ: Hoàn nhập và sử dụng dự phòng trong năm,Trừ: Hoàn nhập và sử dụng dự phòng trong năm,(1.229.521.853),(954.898.586),-1229521853.0,-954898586.0
Số cuối năm,Số cuối năm,Số cuối năm,14.140.932.269,11.326.024.637,14140932269.0,11326024637.0
