row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,350.357.453.099,237.788.746.094,350357453099.0,237788746094.0
Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,70.071.490.620,47.557.749.219,70071490620.0,47557749219.0
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,,
Chi phí không được khấu trừ thuế,Các khoản điều chỉnh tăng: > Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,3.563.128.552,667.925.714,3563128552.0,667925714.0
Chi phí trích lập dự phòng hàng tồn kho,Các khoản điều chỉnh tăng: > Chi phí trích lập dự phòng hàng tồn kho,Chi phí trích lập dự phòng hàng tồn kho,336.056.020,-,336056020.0,
Chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,Các khoản điều chỉnh tăng: > Chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,Chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,8.471.358,119.164.706,8471358.0,119164706.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,
Thu nhập không chịu thuế,Các khoản điều chỉnh giảm: > Thu nhập không chịu thuế,Thu nhập không chịu thuế,(54.103.599.679),(29.122.911.113),-54103599679.0,-29122911113.0
Các khoản điều chỉnh khác,Các khoản điều chỉnh giảm: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,(344.005.007),(644.686.947),-344005007.0,-644686947.0
Chi phí thuế TNDN,Các khoản điều chỉnh giảm: > Chi phí thuế TNDN,Chi phí thuế TNDN,19.531.541.864,18.577.241.579,19531541864.0,18577241579.0
