row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VND Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VND Năm trước
Serenity,Serenity,Serenity,Công ty con,Tạm ứng phát triển dự án Cung cấp dịch vụ,7.715.276.326 451.530.967,- -,,,,
Công ty Cổ phần Tư vấn Quản lý BDSC,Serenity > Công ty Cổ phần Tư vấn Quản lý BDSC,Công ty Cổ phần Tư vấn Quản lý BDSC,Bên liên quan của Thành viên HĐQT,Sử dụng dịch vụ,1.650.000.000,1.884.000.000,,,1650000000.0,1884000000.0
Bà Trần Thị Hường,Bà Trần Thị Hường,Bà Trần Thị Hường,Phó Chủ tịch HĐQT,Thu tiền mua cổ phiếu Chuyển nhượng bất động sản Thu tiền chuyển nhượng bất động sản,20.794.000.000 6.327.974.546,- - 10.276.238.400,,,,
Ông Nguyễn Tấn Danh,Bà Trần Thị Hường > Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Phó Chủ tịch HĐQT,Thu tiền mua cổ phiếu,6.000.000.000,-,,,6000000000.0,
Ông Lê Quang Phúc,Ông Lê Quang Phúc,Ông Lê Quang Phúc,Thành viên HĐQT,Thu tiền mua cổ phiếu Chuyển nhượng bất động sản Thu tiền chuyển nhượng bất động sản,12.000.000.000 8.764.080.000,- - 2.764.080.000,,,,
Ông Đoàn Việt Đại Từ,Ông Lê Quang Phúc > Ông Đoàn Việt Đại Từ,Ông Đoàn Việt Đại Từ,Thành viên HĐQT,Thu tiền mua cổ phiếu,2.000.000.000,-,,,2000000000.0,
Ông Bùi Quang Anh Vũ,Ông Lê Quang Phúc > Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Tổng Giám đốc,Thu tiền mua cổ phiếu Thu tiền chuyển nhượng bất động sản,35.672.000.000,- 10.306.377.900,,,35672000000.0,-10306377900.0
Ông Nguyễn Thanh Thảo,Ông Lê Quang Phúc > Ông Nguyễn Thanh Thảo,Ông Nguyễn Thanh Thảo,Phó Tổng Giám đốc Tài chính,Thu tiền mua cổ phiếu,2.600.000.000,-,,,2600000000.0,
Ông Dương Hồng Cẩm,Ông Lê Quang Phúc > Ông Dương Hồng Cẩm,Ông Dương Hồng Cẩm,Phó Tổng Giám đốc Đầu tư,Thu tiền mua cổ phiếu,1.600.000.000,-,,,1600000000.0,
Ông Nguyễn Đình Trí,Ông Lê Quang Phúc > Ông Nguyễn Đình Trí,Ông Nguyễn Đình Trí,Phó Tổng Giám đốc Xây dựng,Thu tiền mua cổ phiếu,1.600.000.000,-,,,1600000000.0,
Bà Đoàn Thị Tráng,Bà Đoàn Thị Tráng,Bà Đoàn Thị Tráng,Bên liên quan của Chủ tịch,Thu lại chi phí chi trả hộ Thu tiền chuyển nhượng bất động sản,- -,15.219.558.717 15.000.000.000,,,,
