row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,VNDTổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,6.239.795.842,27.032.182.630,33.271.978.472,6239795842.0,27032182630.0,33271978472.0
Mua mới,Nguyên giá > Mua mới,Mua mới,72.328.000,5.400.054.547,5.472.382.547,72328000.0,5400054547.0,5472382547.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(1.294.765.249),(100.000.000),(1.394.765.249),-1294765249.0,-100000000.0,-1394765249.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.017.358.593,32.332.237.177,37.349.595.770,5017358593.0,32332237177.0,37349595770.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,2.006.367.138,5.126.419.538,7.132.786.676,2006367138.0,5126419538.0,7132786676.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(3.811.337.120),(11.456.824.491),(15.268.161.611),-3811337120.0,-11456824491.0,-15268161611.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(888.371.100),(4.668.037.801),(5.556.408.901),-888371100.0,-4668037801.0,-5556408901.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,1.294.765.249,100.000.000,1.394.765.249,1294765249.0,100000000.0,1394765249.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(3.404.942.971),(16.024.862.292),(19.429.805.263),-3404942971.0,-16024862292.0,-19429805263.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.428.458.722,15.575.358.139,18.003.816.861,2428458722.0,15575358139.0,18003816861.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.612.415.622,16.307.374.885,17.919.790.507,1612415622.0,16307374885.0,17919790507.0
