row_label_raw,row_label_full,col_0,Số đầu năm,Tăng,Giảm,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng,numeric__Giảm,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.413.560.061.129,703.017.788.871,(1.417.727.850.000),28.000.000.000,726.850.000.000,1413560061129.0,703017788871.0,-1417727850000.0,28000000000.0,726850000000.0
Vay ngân hàng(Thuyết minh số 21.1),Vay ngân hàng(Thuyết minh số 21.1),Vay ngân hàng(Thuyết minh số 21.1),334.152.850.000,150.000.000.000,(334.652.850.000),28.000.000.000,177.500.000.000,334152850000.0,150000000000.0,-334652850000.0,28000000000.0,177500000000.0
Trái phiếu(Thuyết minh số 21.2),Trái phiếu(Thuyết minh số 21.2),Trái phiếu(Thuyết minh số 21.2),457.632.211.129,233.017.788.871,(461.300.000.000),-,229.350.000.000,457632211129.0,233017788871.0,-461300000000.0,,229350000000.0
Vay bên khác(Thuyết minh số 21.3),Vay bên khác(Thuyết minh số 21.3),Vay bên khác(Thuyết minh số 21.3),621.775.000.000,320.000.000.000,(621.775.000.000),-,320.000.000.000,621775000000.0,320000000000.0,-621775000000.0,,320000000000.0
Dài hạn,Dài hạn,Dài hạn,485.244.818.638,2.152.799.973.034,(273.450.000.000),(28.000.000.000),2.336.594.791.672,485244818638.0,2152799973034.0,-273450000000.0,-28000000000.0,2336594791672.0
Vay ngân hàng(Thuyết minh số 21.1),Vay ngân hàng(Thuyết minh số 21.1),Vay ngân hàng(Thuyết minh số 21.1),238.000.000.000,-,-,(28.000.000.000),210.000.000.000,238000000000.0,,,-28000000000.0,210000000000.0
Trái phiếu(Thuyết minh số 21.2),Trái phiếu(Thuyết minh số 21.2),Trái phiếu(Thuyết minh số 21.2),247.244.818.638,2.152.799.973.034,(273.450.000.000),-,2.126.594.791.672,247244818638.0,2152799973034.0,-273450000000.0,,2126594791672.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.898.804.879.767,2.855.817.761.905,(1.691.177.850.000),-,3.063.444.791.672,1898804879767.0,2855817761905.0,-1691177850000.0,,3063444791672.0
