row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,57.690.371.259,268.301.896.663,57690371259.0,268301896663.0
Phải thu bên khác,Phải thu bên khác,Phải thu bên khác,47.690.371.259,257.986.870.663,47690371259.0,257986870663.0
"- Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc (""Trường Phát Lộc"") (i)","- Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc (""Trường Phát Lộc"") (i)","- Công ty Cổ phần Thương mại Vận tải biển Trường Phát Lộc (""Trường Phát Lộc"") (i)",45.400.000.000,50.000.000.000,45400000000.0,50000000000.0
"- Ký quỹ, ký cược","- Ký quỹ, ký cược","- Ký quỹ, ký cược",409.876.000,733.360.000,409876000.0,733360000.0
- Công ty Cổ phần Kinh doanh Bất động sản Minh Hoàng,- Công ty Cổ phần Kinh doanh Bất động sản Minh Hoàng,- Công ty Cổ phần Kinh doanh Bất động sản Minh Hoàng,-,200.000.000.000,,200000000000.0
- Khác,- Khác,- Khác,1.880.495.259,7.253.510.663,1880495259.0,7253510663.0
Phải thu bên liên quan (Thuyết minh số 30),Phải thu bên liên quan (Thuyết minh số 30),Phải thu bên liên quan (Thuyết minh số 30),10.000.000.000,10.315.026.000,10000000000.0,10315026000.0
Dài hạn,Dài hạn,Dài hạn,1.108.035.294.786,1.522.369.553.082,1108035294786.0,1522369553082.0
Phải thu bên khác,Phải thu bên khác,Phải thu bên khác,728.034.056.580,859.626.914.270,728034056580.0,859626914270.0
"- Công ty Cổ phần Đoàn Ánh Dương Phú Quốc (""Đoàn Ánh Dương"") (ii)","- Công ty Cổ phần Đoàn Ánh Dương Phú Quốc (""Đoàn Ánh Dương"") (ii)","- Công ty Cổ phần Đoàn Ánh Dương Phú Quốc (""Đoàn Ánh Dương"") (ii)",299.888.000.000,356.000.000.000,299888000000.0,356000000000.0
- Công ty Cổ phần Địa ốc Tân Hoàng (iii),- Công ty Cổ phần Địa ốc Tân Hoàng (iii),- Công ty Cổ phần Địa ốc Tân Hoàng (iii),223.000.000.000,223.000.000.000,223000000000.0,223000000000.0
- Công ty Cổ phần Địa ốc Tam Bình (iii),- Công ty Cổ phần Địa ốc Tam Bình (iii),- Công ty Cổ phần Địa ốc Tam Bình (iii),200.000.000.000,200.000.000.000,200000000000.0,200000000000.0
"- Ký quỹ, ký cược","- Ký quỹ, ký cược","- Ký quỹ, ký cược",5.146.056.580,3.960.245.380,5146056580.0,3960245380.0
- Trường Phát Lộc (i),- Trường Phát Lộc (i),- Trường Phát Lộc (i),-,76.400.000.000,,76400000000.0
- Khác,- Khác,- Khác,-,266.668.890,,266668890.0
Phải thu bên liên quan (Thuyết minh số 30),Phải thu bên liên quan (Thuyết minh số 30),Phải thu bên liên quan (Thuyết minh số 30),380.001.238.206,662.742.638.812,380001238206.0,662742638812.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.165.725.666.045,1.790.671.449.745,1165725666045.0,1790671449745.0
