row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
AKYN,Phải thu ngắn hạn của khách hàng > AKYN,AKYN,Bên liên quan của Chủ tịch,Chuyển nhượng cổ phần,50.000.000.000,50.000.000.000,,,50000000000.0,50000000000.0
AKYN,Phải thu ngắn hạn của khách hàng > AKYN,AKYN,Bên liên quan của Chủ tịch,Cung cấp dịch vụ,412.500.000,1.148.400.000,,,412500000.0,1148400000.0
Sài Gòn – KL,Phải thu ngắn hạn của khách hàng > Sài Gòn – KL,Sài Gòn – KL,Công ty con,Cung cấp dịch vụ,5.361.669.987,2.930.400.000,,,5361669987.0,2930400000.0
ĐK Phú Quốc,Phải thu ngắn hạn của khách hàng > ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Cung cấp dịch vụ,1.441.113.206,1.949.232.537,,,1441113206.0,1949232537.0
Serenity,Phải thu ngắn hạn của khách hàng > Serenity,Serenity,Công ty con,Cung cấp dịch vụ,496.684.064,-,,,496684064.0,
,,,,,57.711.967.257,56.028.032.537,,,57711967257.0,56028032537.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,,,,
AKYN,Phải thu dài hạn của khách hàng > AKYN,AKYN,Bên liên quan của Chủ tịch,Chuyển nhượng cổ phần,-,50.000.000.000,,,,50000000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
AKYN,Phải thu ngắn hạn khác > AKYN,AKYN,Bên liên quan của Chủ tịch thanh lý HĐHTĐT,Vốn góp từ việc triển dự án,10.000.000.000,10.000.000.000,,,10000000000.0,10000000000.0
Bến Thành – Long Hải,Phải thu ngắn hạn khác > Bến Thành – Long Hải,Bến Thành – Long Hải,Công ty con,Tạm ứng phát triển dự án,-,315.026.000,,,,315026000.0
,,,,,10.000.000.000,10.315.026.000,,,10000000000.0,10315026000.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Sài Gòn - KL,Phải thu dài hạn khác > Sài Gòn - KL,Sài Gòn - KL,Công ty con,Tạm ứng phát triển dự án,190.418.337.068,516.396.990.000,,,190418337068.0,516396990000.0
Coinin,Phải thu dài hạn khác > Coinin,Coinin,Công ty con,Tạm ứng phát triển dự án,106.176.748.812,66.201.748.812,,,106176748812.0,66201748812.0
ĐK Phú Quốc,Phải thu dài hạn khác > ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Tạm ứng phát triển dự án,40.977.900.000,40.143.900.000,,,40977900000.0,40143900000.0
AKYN,Phải thu dài hạn khác > AKYN,AKYN,Bên liên quan của Chủ tịch,Vốn góp từ việc thanh lý HĐHTĐT,30.000.000.000,40.000.000.000,,,30000000000.0,40000000000.0
Serenity,Phải thu dài hạn khác > Serenity,Serenity,Công ty con,Tạm ứng phát triển dự án,7.715.276.326,-,,,7715276326.0,
Bến Thành – Long Hải,Phải thu dài hạn khác > Bến Thành – Long Hải,Bến Thành – Long Hải,Công ty con,Tạm ứng phát triển dự án,4.439.976.000,-,,,4439976000.0,
Bắc Cường,Phải thu dài hạn khác > Bắc Cường,Bắc Cường,Công ty con,Tạm ứng phát triển dự án,273.000.000,-,,,273000000.0,
,,,,,380.001.238.206,662.742.638.812,,,380001238206.0,662742638812.0
