row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
10,10,10,1. Doanh thu thuần về bán hàng và cung cấp dịch vụ,24,3.789.750.383.150,3.913.816.861.060,,24.0,3789750383150.0,3913816861060.0
11,11,11,2. Giá vốn hàng bán và dịch vụ cung cấp,25,(1.023.229.416.126),(2.091.959.488.663),,25.0,-1023229416126.0,-2091959488663.0
20,20,20,3. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,2.766.520.967.024,1.821.857.372.397,,,2766520967024.0,1821857372397.0
21,21,21,4. Doanh thu hoạt động tài chính,,6.228.075.363,5.811.350.417,,,6228075363.0,5811350417.0
22,22,22,5. Chi phí tài chính- Trong đó: Chi phí lãi vay,26,(155.190.842.100)(148.845.992.473),(31.063.258.813)(23.044.589.042),,26.0,,
23,23,23,5. Chi phí tài chính- Trong đó: Chi phí lãi vay,26,(155.190.842.100)(148.845.992.473),(31.063.258.813)(23.044.589.042),,26.0,,
25,25,25,6. Chi phí bán hàng,27,(18.007.966.070),(117.902.117.428),,27.0,-18007966070.0,-117902117428.0
26,26,26,7. Chi phí quản lý doanh nghiệp,27,(208.433.720.489),(127.390.478.732),,27.0,-208433720489.0,-127390478732.0
30,30,30,8. Lợi nhuận thuần từ hoạt động kinh doanh,,2.391.116.513.728,1.551.312.867.841,,,2391116513728.0,1551312867841.0
31,31,31,9. Thu nhập khác,,458.114.518,32.333.917,,,458114518.0,32333917.0
32,32,32,10. Chi phí khác,,(26.195.685.179),(8.661.763.857),,,-26195685179.0,-8661763857.0
40,40,40,11. Lỗ khác,,(25.737.570.661),(8.629.429.940),,,-25737570661.0,-8629429940.0
50,50,50,12. Tổng lợi nhuận kế toán trước thuế,,2.365.378.943.067,1.542.683.437.901,,,2365378943067.0,1542683437901.0
51,51,51,13. Chi phí thuế TNDN hiện hành,29.1,(484.357.894.838),(319.999.881.510),,291.0,-484357894838.0,-319999881510.0
60,60,60,14. Lợi nhuận sau thuế TNDN,,1.881.021.048.229,1.222.683.556.391,,,1881021048229.0,1222683556391.0
