row_label_raw,row_label_full,col_0,Số cuối năm > %sở hữu,Số cuối năm > Số tiềnVND,Số đầu năm > %sở hữu,Số đầu năm > Số tiềnVND,numeric__Số cuối năm > %sở hữu,numeric__Số cuối năm > Số tiềnVND,numeric__Số đầu năm > %sở hữu,numeric__Số đầu năm > Số tiềnVND
Công ty Cổ phần Đầu tư và Phát triển Khu Công nghiệp Phát Đạt,Công ty Cổ phần Đầu tư và Phát triển Khu Công nghiệp Phát Đạt,Công ty Cổ phần Đầu tư và Phát triển Khu Công nghiệp Phát Đạt,68,2.040.000.000.000,68,462.400.000.000,68.0,2040000000000.0,68.0,462400000000.0
Công ty Cổ phần Bến Thành - Long Hải,Công ty Cổ phần Bến Thành - Long Hải,Công ty Cổ phần Bến Thành - Long Hải,99,1.980.000.000.000,99,1.980.000.000.000,99.0,1980000000000.0,99.0,1980000000000.0
Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao óc Bình Dương,Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao óc Bình Dương,Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao óc Bình Dương,"99,5",1.871.709.990.959,-,-,99.5,1871709990959.0,,
Công ty Cổ phần Đầu tư Serenity,Công ty Cổ phần Đầu tư Serenity,Công ty Cổ phần Đầu tư Serenity,"99,34",1.360.000.000.000,-,-,99.34,1360000000000.0,,
Công ty Cổ phần Địa ốc Sài Gòn - KL,Công ty Cổ phần Địa ốc Sài Gòn - KL,Công ty Cổ phần Địa ốc Sài Gòn - KL,99,648.293.112.453,99,647.756.230.000,99.0,648293112453.0,99.0,647756230000.0
Công ty Cổ phần Đầu tư Bắc Cường,Công ty Cổ phần Đầu tư Bắc Cường,Công ty Cổ phần Đầu tư Bắc Cường,99,461.835.000.000,-,-,99.0,461835000000.0,,
Công ty Cổ phần ĐK Phú Quốc,Công ty Cổ phần ĐK Phú Quốc,Công ty Cổ phần ĐK Phú Quốc,99,393.624.000.000,99,393.624.000.000,99.0,393624000000.0,99.0,393624000000.0
Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,"99,9",300.000.000.000,80,246.000.000.000,99.9,300000000000.0,80.0,246000000000.0
Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,94,144.585.000.000,94,133.725.000.000,94.0,144585000000.0,94.0,133725000000.0
Công ty Cổ phần Kinh doanh và Dịch vụ Bất động sản Phát Đạt,Công ty Cổ phần Kinh doanh và Dịch vụ Bất động sản Phát Đạt,Công ty Cổ phần Kinh doanh và Dịch vụ Bất động sản Phát Đạt,51,85.680.000.000,-,-,51.0,85680000000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,9.285.727.103.412,,3.863.505.230.000,,9285727103412.0,,3863505230000.0
