row_label_raw,row_label_full,col_0,"Máy móc, thiết bị",Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.866.940.741,1.866.940.741,1866940741.0,1866940741.0
- Thuê tài chính trong năm,- Thuê tài chính trong năm,- Thuê tài chính trong năm,-,-,,
Số dư cuối năm,- Thuê tài chính trong năm > Số dư cuối năm,Số dư cuối năm,1.866.940.741,1.866.940.741,1866940741.0,1866940741.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,703.141.485,703.141.485,703141485.0,703141485.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,466.735.188,466.735.188,466735188.0,466735188.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.169.876.673,1.169.876.673,1169876673.0,1169876673.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
- Tại ngày đầu năm,Giá trị còn lại > - Tại ngày đầu năm,- Tại ngày đầu năm,1.163.799.256,1.163.799.256,1163799256.0,1163799256.0
- Tại ngày cuối năm,Giá trị còn lại > - Tại ngày cuối năm,- Tại ngày cuối năm,697.064.068,697.064.068,697064068.0,697064068.0
