row_label_raw,row_label_full,"CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023","CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_1","CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_2","CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_3","CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_4",Mẫu số B 09 - DN/HNBan hành theo Thông tư số 202/2014/TT- BTCNgày 22/12/2014 của Bộ Tài chính > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023,"numeric__CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_1","numeric__CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_2","numeric__CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_3","numeric__CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_4",numeric__Mẫu số B 09 - DN/HNBan hành theo Thông tư số 202/2014/TT- BTCNgày 22/12/2014 của Bộ Tài chính > BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023
Stt,Stt,Stt,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,,,,,
15,Stt > 15,15,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,"Khu phố 3, thị trấn Dầu Tiếng,huyện Dầu Tiếng, tinh Bình Dương","49,00%","49,00%","Trồng, chăm sóc, khai thác, chế biến cao su tại Lào",,,0.49,0.49,
16,Stt > 16,16,Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,"Lô E, KCN Lộc An, Bình Sơn, Xã Bình Sơn, Huyện Long Thành, Tinh Đồng Nai","31,00%","31,00%",Kinh doanh cơ sở hạ tầng,,,0.31,0.31,
