row_label_raw,row_label_full,Ngắn hạn,31/12/2023VND,01/01/2023VND,numeric__31/12/2023VND,numeric__01/01/2023VND
- Tài sản thừa chở giải quyết,- Tài sản thừa chở giải quyết,- Tài sản thừa chở giải quyết,6.930.605.778,1.370.615.626,6930605778.0,1370615626.0
- Kinh phí công đoàn,- Kinh phí công đoàn,- Kinh phí công đoàn,18.035.232.533,20.176.632.659,18035232533.0,20176632659.0
- Các khoản bảo hiểm bắt buộc,- Các khoản bảo hiểm bắt buộc,- Các khoản bảo hiểm bắt buộc,19.721.161.601,46.424.146.021,19721161601.0,46424146021.0
- Phải trả về cổ phần hoá,- Phải trả về cổ phần hoá,- Phải trả về cổ phần hoá,75.109.000.000,75.109.000.000,75109000000.0,75109000000.0
"- Nhận ký quỹ, ký cược ngắn hạn","- Nhận ký quỹ, ký cược ngắn hạn","- Nhận ký quỹ, ký cược ngắn hạn",79.720.907.670,91.479.596.404,79720907670.0,91479596404.0
"- Cổ tức, lợi nhuận phải trả","- Cổ tức, lợi nhuận phải trả","- Cổ tức, lợi nhuận phải trả",91.504.600.287,258.639.131.106,91504600287.0,258639131106.0
"- Các khoản phải trả, phải nộp khác","- Các khoản phải trả, phải nộp khác","- Các khoản phải trả, phải nộp khác",738.327.541.466,1.152.977.137.466,738327541466.0,1152977137466.0
Tổng,Tổng,Tổng,1.029.349.049.335,1.646.176.259.282,1029349049335.0,1646176259282.0
,,,31/12/2023VND,01/01/2023VND,,
Dài hạn,Dài hạn,Dài hạn,,,,
"- Nhận ký quỹ, ký cược dài hạn","Dài hạn > - Nhận ký quỹ, ký cược dài hạn","- Nhận ký quỹ, ký cược dài hạn",21.685.751.648,19.917.804.691,21685751648.0,19917804691.0
"- Các khoản phải trả, phải nộp khác","Dài hạn > - Các khoản phải trả, phải nộp khác","- Các khoản phải trả, phải nộp khác",112.666.609.927,124.025.718.147,112666609927.0,124025718147.0
Tổng,Dài hạn > Tổng,Tổng,134.352.361.575,143.943.522.838,134352361575.0,143943522838.0
