row_label_raw,row_label_full,col_0,01/01/2023VND,Biến động trong năm > Tăng,Biến động trong năm > Giảm,31/12/2023VND,numeric__01/01/2023VND,numeric__Biến động trong năm > Tăng,numeric__Biến động trong năm > Giảm,numeric__31/12/2023VND
a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,,,,
Nguyên giá,a. Bất động sản đầu tư cho thuê > Nguyên giá,Nguyên giá,2.236.641.918.049,40.895.241.238,-,2.277.537.159.287,2236641918049.0,40895241238.0,,2277537159287.0
- Quyền sử dụng đất,a. Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,242.026.264.360,,-,242.026.264.360,242026264360.0,,,242026264360.0
- Cơ sở hạ tầng,a. Bất động sản đầu tư cho thuê > - Cơ sở hạ tầng,- Cơ sở hạ tầng,1.994.615.653.689,40.895.241.238,,2.035.510.894.927,1994615653689.0,40895241238.0,,2035510894927.0
Giá trị hao mòn lũy kế,a. Bất động sản đầu tư cho thuê > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,817.990.911.912,115.524.001.999,-,933.514.913.911,817990911912.0,115524001999.0,,933514913911.0
- Quyền sử dụng đất,a. Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,72.532.780.363,-,,72.532.780.363,72532780363.0,,,72532780363.0
- Cơ sở hạ tầng,a. Bất động sản đầu tư cho thuê > - Cơ sở hạ tầng,- Cơ sở hạ tầng,745.458.131.549,115.524.001.999,,860.982.133.548,745458131549.0,115524001999.0,,860982133548.0
Giá trị còn lại,a. Bất động sản đầu tư cho thuê > Giá trị còn lại,Giá trị còn lại,1.418.651.006.137,,74.628.760.761,1.344.022.245.376,1418651006137.0,,74628760761.0,1344022245376.0
- Quyền sử dụng đất,a. Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,169.493.483.997,-,-,169.493.483.997,169493483997.0,,,169493483997.0
- Cơ sở hạ tầng,a. Bất động sản đầu tư cho thuê > - Cơ sở hạ tầng,- Cơ sở hạ tầng,1.249.157.522.140,-,74.628.760.761,1.174.528.761.379,1249157522140.0,,74628760761.0,1174528761379.0
