row_label_raw,row_label_full,Lợi nhuận thuần trong năm - thuộc về cổ đông phổ thông trước khi trích quỹ khen thưởng và phúc lợi,Số đã trình bày trên báo cáo năm trước VND > 3.838.821.072.307,Số trình bày lại VND > 3.881.881.209.633,Chênh lệch VND > 43.060.137.326,numeric__Số đã trình bày trên báo cáo năm trước VND > 3.838.821.072.307,numeric__Số trình bày lại VND > 3.881.881.209.633,numeric__Chênh lệch VND > 43.060.137.326
Trích quỹ khen thưởng và phúc lợi - thuộc về cổ đông phổ thông,Trích quỹ khen thưởng và phúc lợi - thuộc về cổ đông phổ thông,Trích quỹ khen thưởng và phúc lợi - thuộc về cổ đông phổ thông,(609.724.432.756),(653.890.117.714),(44.165.684.958),-609724432756.0,-653890117714.0,-44165684958.0
Lợi nhuận thuần trong năm thuộc về cổ đông phổ thông sau khi trích quỹ khen thưởng và phúc lợi,Lợi nhuận thuần trong năm thuộc về cổ đông phổ thông sau khi trích quỹ khen thưởng và phúc lợi,Lợi nhuận thuần trong năm thuộc về cổ đông phổ thông sau khi trích quỹ khen thưởng và phúc lợi,3.229.096.639.551,3.227.991.091.919,(1.105.547.632),3229096639551.0,3227991091919.0,-1105547632.0
Số lượng cổ phiếu bình quân đang lưu hành trong kỳ (Cổ phiếu),Số lượng cổ phiếu bình quân đang lưu hành trong kỳ (Cổ phiếu),Số lượng cổ phiếu bình quân đang lưu hành trong kỳ (Cổ phiếu),4.000.000.000,4.000.000.000,-,4000000000.0,4000000000.0,
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,807,807,(0),807.0,807.0,-0.0
