row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2023 VND,Năm 2022 VND(Trình bày lại),numeric__Mã số,numeric__Năm 2023 VND,numeric__Năm 2022 VND(Trình bày lại)
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,4.113.891.839.564,5.768.180.052.419,1.0,4113891839564.0,5768180052419.0
2. Điều chỉnh cho các khoản,I. Lưu chuyển tiền từ hoạt động kinh doanh > 2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,353.560.926.443,1.743.988.310.076,,353560926443.0,1743988310076.0
- Khấu hao tài sản cố định,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Khấu hao tài sản cố định,- Khấu hao tài sản cố định,02,2.488.425.976.550,2.458.765.550.692,2.0,2488425976550.0,2458765550692.0
- Các khoản dự phòng,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Các khoản dự phòng,- Các khoản dự phòng,03,(43.408.958.719),16.249.907.119,3.0,-43408958719.0,16249907119.0
"- Lãi, lỗ chênh lệch tỷ giá hồi doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","I. Lưu chuyển tiền từ hoạt động kinh doanh > - Lãi, lỗ chênh lệch tỷ giá hồi doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hồi doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,46.957.442.844,25.739.685.348,4.0,46957442844.0,25739685348.0
- Lãi lỗ từ hoạt động đầu tư,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Lãi lỗ từ hoạt động đầu tư,- Lãi lỗ từ hoạt động đầu tư,05,(2.944.015.312.045),(1.258.065.874.008),5.0,-2944015312045.0,-1258065874008.0
- Chi phí lãi vay,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Chi phí lãi vay,- Chi phí lãi vay,06,805.601.777.813,501.299.040.925,6.0,805601777813.0,501299040925.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,I. Lưu chuyển tiền từ hoạt động kinh doanh > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,4.467.452.766.007,7.512.168.362.495,8.0,4467452766007.0,7512168362495.0
"- Tăng, giảm các khoản phải thu","I. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,199.569.497.016,129.477.105.416,9.0,199569497016.0,129477105416.0
