row_label_raw,row_label_full,Chỉ tiêu,01/01/2023VND,Số phải thu trong năm,Số đã thu trong năm,31/12/2023VND,numeric__01/01/2023VND,numeric__Số phải thu trong năm,numeric__Số đã thu trong năm,numeric__31/12/2023VND
Phải nộp,Phải nộp,Phải nộp,652.712.412.987,1.869.923.477.568,1.980.850.556.674,541.785.333.881,652712412987.0,1869923477568.0,1980850556674.0,541785333881.0
- Thuế giá trị gia tăng nội địa,- Thuế giá trị gia tăng nội địa,- Thuế giá trị gia tăng nội địa,116.248.326.674,540.522.572.832,586.241.915.029,70.528.984.477,116248326674.0,540522572832.0,586241915029.0,70528984477.0
- Thuế giá trị gia tăng nhập khẩu,- Thuế giá trị gia tăng nhập khẩu,- Thuế giá trị gia tăng nhập khẩu,-,44.550.167.650,44.498.451.767,51.715.883,,44550167650.0,44498451767.0,51715883.0
"- Thuế xuất khẩu, nhập khẩu","- Thuế xuất khẩu, nhập khẩu","- Thuế xuất khẩu, nhập khẩu",1.060.476.510,4.979.399.346,5.635.400.157,404.475.699,1060476510.0,4979399346.0,5635400157.0,404475699.0
- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,15.007.237.576,1.393.205.259,15.041.105.152,1.359.337.683,15007237576.0,1393205259.0,15041105152.0,1359337683.0
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,381.796.273.308,528.618.038.176,621.751.502.843,288.662.808.641,381796273308.0,528618038176.0,621751502843.0,288662808641.0
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,14.261.491.297,52.016.812.427,59.455.196.294,6.823.107.430,14261491297.0,52016812427.0,59455196294.0,6823107430.0
"- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",41.167.235.823,509.023.352.921,478.052.283.080,72.138.305.664,41167235823.0,509023352921.0,478052283080.0,72138305664.0
- Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,781.733.737,2.060.779.734,1.883.301.701,959.211.770,781733737.0,2060779734.0,1883301701.0,959211770.0
- Thuế môn bài,- Thuế môn bài,- Thuế môn bài,529.357.413,(107.688.913),421.668.500,-,529357413.0,-107688913.0,421668500.0,
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,23.958.362.424,53.337.389.131,63.840.826.658,13.454.924.897,23958362424.0,53337389131.0,63840826658.0,13454924897.0
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,46.500.396.659,110.536.735.701,77.999.323.766,79.037.808.594,46500396659.0,110536735701.0,77999323766.0,79037808594.0
"- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác",11.401.521.566,22.992.713.304,26.029.581.727,8.364.653.143,11401521566.0,22992713304.0,26029581727.0,8364653143.0
Cộng,Cộng,Cộng,652.712.412.987,1.869.923.477.568,1.980.850.556.674,541.785.333.881,652712412987.0,1869923477568.0,1980850556674.0,541785333881.0
