row_label_raw,row_label_full,Stt,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
1,1,1,Công ty TNHH MTV Tập đoàn Cao su Đồng Nai,"Áp Trung Tâm, xã Xuân Lập, thị Xã Long Khánh, Tỉnh Đồng Nai",100 %,100 %,"Trồng, khai thác, chế biến và kinh doanh mủ cao su thiên nhiên",,,1.0,1.0,
2,2,2,Công ty TNHH MTV Cao su Bình Long,"Quốc lộ 13, phường Hưng Chiến, thị xã Bình Long, tỉnh Bình Phước",100 %,100 %,"Trồng, chăm sóc, khai thác, chế biến, thương nghiệp buôn bán mủ và các dịch vụ cho việc phát triển cao su",,,1.0,1.0,
3,3,3,Công ty TNHH MTV Cao su Dầu Tiếng,"Thị trấn Dầu Tiếng, huyện Dầu Tiếng, tỉnh Bình Dương",100 %,100 %,"Trồng, chăm sóc và khai thác cao su thiên nhiên; trồng rừng, khai thác, chế biến các loại cây lâm nghiệp, công nghiệp và nông nghiệp",,,1.0,1.0,
4,4,4,Công ty TNHH MTV Cao su Lộc Ninh,"Khu phố Ninh Thuận, thị trấn Lộc Ninh, huyện Lộc Ninh, tỉnh Bình Phước",100 %,100 %,"Trồng, chăm sóc, khai thác, chế biến và tiêu thụ sản phẩm cao su; Trồng, chăm sóc rừng, khai thác lâm sản",,,1.0,1.0,
5,5,5,Công ty TNHH MTV Cao su Phú Riếng,"Xã Phú Riếng, huyện Phú Riếng, tỉnh Bình Phước",100 %,100 %,"Trồng, khai thác, chế biến và kinh doanh mủ cao su thiên nhiên",,,1.0,1.0,
6,6,6,Công ty TNHH MTV Cao su Krông Buk,"Xã Ea Hồ, huyện Krông Năng, tỉnh Đắk Lắk",100 %,100 %,"Trồng cây cao su, cà phê, cây nông nghiệp ngắn ngày; Mua bán, xuất nhập khẩu: Cao su, vật tư, thiết bị ngành cao su; cà phê, nông sản, thực phẩm",,,1.0,1.0,
7,7,7,Công ty TNHH MTV Cao su Eah Leo,"499 đường Giải Phòng, thị trấn Ea Đăng, huyện EaH’leo, tỉnh Đắk Lắk",100 %,100 %,"Trồng mới, chăm sóc, khai thác, chế biến và kinh doanh mủ cao su thiên nhiên",,,1.0,1.0,
8,8,8,Công ty TNHH MTV Cao su Chư Prông,"Xã Ia Drăng, huyện Chư Prông, tỉnh Gia Lai",100 %,100 %,"Trồng, khai thác, chế biến và tiêu thụ cao su, cà phê; Sản xuất và chế biến gỗ; Công nghiệp hóa chất, phân bón và cao su; Khai thác và chế biến khoáng sản; Thương nghiệp bán buôn",,,1.0,1.0,
9,9,9,Công ty TNHH MTV Cao su Chư Sê,"420 Hùng Vương, thị trấn Chư Sê, huyện Chư Sê, tỉnh Gia Lai",100 %,100 %,Trồng trọt; Công nghiệp hoá chất phân bón và cao su; Thương nghiệp bán buôn; Khai hoang xây dựng vườn cây,,,1.0,1.0,
10,10,10,Công ty TNHH MTV Cao su Kon Tum,"258 Phan Đình Phùng, TP. Kon Tum, tỉnh Kon Tum",100 %,100 %,"Trồng mới, khai thác, chăm sóc và chế biến mủ cao su",,,1.0,1.0,
11,11,11,Công ty TNHH MTV Cao su Mang Yang,"536 Nguyễn Huệ, thị trấn Đắk Đoa, huyện Đắk Đoa, tỉnh Gia Lai",100 %,100 %,"Bán buôn cao su; Trồng trọt, chăn nuôi hỗn hợp, trồng cây cao su; Sản xuất phân bón và hợp chất ni tơ; Bán buôn",,,1.0,1.0,
