row_label_raw,row_label_full,col_0,31/12/2023 (VND) > Giá gốc,31/12/2023 (VND) > Điều chỉnh theo phương pháp VCSH,31/12/2023 (VND) > Giá trị hợp lý,01/01/2023 (VND) > Giá gốc,01/01/2023 (VND) > Điều chỉnh theo phương pháp VCSH,01/01/2023 (VND) > Giá trị hợp lý,numeric__31/12/2023 (VND) > Giá gốc,numeric__31/12/2023 (VND) > Điều chỉnh theo phương pháp VCSH,numeric__31/12/2023 (VND) > Giá trị hợp lý,numeric__01/01/2023 (VND) > Giá gốc,numeric__01/01/2023 (VND) > Điều chỉnh theo phương pháp VCSH,numeric__01/01/2023 (VND) > Giá trị hợp lý
,,,2.028.396.287.412,156.040.196.685,2.184.436.484.097,1.995.367.727.159,436.019.846.374,2.431.387.573.533,2028396287412.0,156040196685.0,2184436484097.0,1995367727159.0,436019846374.0,2431387573533.0
- Công ty Cổ phần Thống Nhất,- Công ty Cổ phần Thống Nhất,- Công ty Cổ phần Thống Nhất,48.139.152.723,27.844.944.524,75.984.097.247,48.139.152.723,40.263.906.391,88.403.059.114,48139152723.0,27844944524.0,75984097247.0,48139152723.0,40263906391.0,88403059114.0
- Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,- Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,- Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,8.749.737.281,(4.140.742.811),4.608.994.470,8.749.737.281,(3.423.149.899),5.326.587.382,8749737281.0,-4140742811.0,4608994470.0,8749737281.0,-3423149899.0,5326587382.0
- Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,- Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,- Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,58.397.844.479,41.383.351.504,99.781.195.983,58.397.844.479,36.005.794.005,94.403.638.484,58397844479.0,41383351504.0,99781195983.0,58397844479.0,36005794005.0,94403638484.0
- Công ty Cổ phần Kinh doanh BOT Dương DT.741,- Công ty Cổ phần Kinh doanh BOT Dương DT.741,- Công ty Cổ phần Kinh doanh BOT Dương DT.741,26.350.000.000,27.324.174.492,53.674.174.492,26.350.000.000,27.399.152.913,53.749.152.913,26350000000.0,27324174492.0,53674174492.0,26350000000.0,27399152913.0,53749152913.0
- Công ty Cổ phần Gỗ MDF VRG - Dongwha,- Công ty Cổ phần Gỗ MDF VRG - Dongwha,- Công ty Cổ phần Gỗ MDF VRG - Dongwha,1.004.392.840.663,132.157.394.958,1.136.550.235.621,1.004.392.840.663,422.407.643.319,1.426.800.483.982,1004392840663.0,132157394958.0,1136550235621.0,1004392840663.0,422407643319.0,1426800483982.0
- Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,- Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,- Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,95.141.495.684,(73.453.060.149),21.688.435.535,95.141.496.684,(68.647.069.116),26.494.427.568,95141495684.0,-73453060149.0,21688435535.0,95141496684.0,-68647069116.0,26494427568.0
- Công ty Cổ phần Cao su Bến Thành,- Công ty Cổ phần Cao su Bến Thành,- Công ty Cổ phần Cao su Bến Thành,57.440.573.000,43.838.710.889,101.279.283.889,57.440.573.000,44.074.436.858,101.515.009.858,57440573000.0,43838710889.0,101279283889.0,57440573000.0,44074436858.0,101515009858.0
- Công ty Cổ phần Xây dựng Cao su Đồng Nai,- Công ty Cổ phần Xây dựng Cao su Đồng Nai,- Công ty Cổ phần Xây dựng Cao su Đồng Nai,9.768.852.055,(1.860.226.720),7.908.625.335,9.768.852.055,(2.113.987.179),7.654.864.876,9768852055.0,-1860226720.0,7908625335.0,9768852055.0,-2113987179.0,7654864876.0
- Công ty Cổ phần Lộc Thịnh,- Công ty Cổ phần Lộc Thịnh,- Công ty Cổ phần Lộc Thịnh,36.000.000.000,1.821.640.405,37.821.640.405,36.000.000.000,1.315.254.010,37.315.254.010,36000000000.0,1821640405.0,37821640405.0,36000000000.0,1315254010.0,37315254010.0
- Công ty Cổ phần Chí sợi Cao su V.R.G SA DO,- Công ty Cổ phần Chí sợi Cao su V.R.G SA DO,- Công ty Cổ phần Chí sợi Cao su V.R.G SA DO,150.850.230.247,(240.396.655.672),(89.546.425.425),150.850.230.247,(200.535.179.536),(49.684.949.289),150850230247.0,-240396655672.0,-89546425425.0,150850230247.0,-200535179536.0,-49684949289.0
