row_label_raw,row_label_full,Ông Trần Công Kha,Chủ tịch,numeric__Chủ tịch
Ông Huỳnh Văn Bảo,Ông Huỳnh Văn Bảo,Ông Huỳnh Văn Bảo,Thành viên (Nghi hưu từ ngày 01/11/2023),
Ông Trần Ngọc Thuận,Ông Trần Ngọc Thuận,Ông Trần Ngọc Thuận,Thành viên,
Ông Lê Thanh Hưng,Ông Lê Thanh Hưng,Ông Lê Thanh Hưng,Thành viên,
Ông Phạm Văn Thành,Ông Phạm Văn Thành,Ông Phạm Văn Thành,Thành viên (Nghi hưu từ ngày 01/09/2023),
Ông Hà Văn Khương,Ông Hà Văn Khương,Ông Hà Văn Khương,Thành viên,
Ông Phan Mạnh Hùng,Ông Phan Mạnh Hùng,Ông Phan Mạnh Hùng,Thành viên,
Ông Nguyễn Hay,Ông Nguyễn Hay,Ông Nguyễn Hay,Thành viên,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,
Ông Đỗ Khắc Thăng,Ông Đỗ Khắc Thăng,Ông Đỗ Khắc Thăng,Trường ban,
Ông Nguyễn Minh Đức,Ông Nguyễn Minh Đức,Ông Nguyễn Minh Đức,Thành viên,
Ông Võ Văn Tuấn,Ông Võ Văn Tuấn,Ông Võ Văn Tuấn,Thành viên,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,
Ông Lê Thanh Hưng,Ông Lê Thanh Hưng,Ông Lê Thanh Hưng,Tổng Giám đốc,
Ông Phạm Hải Dương,Ông Phạm Hải Dương,Ông Phạm Hải Dương,Phó Tổng Giám đốc (Bổ nhiệm từ ngày 08/09/2023),
Ông Đỗ Hữu Phước,Ông Đỗ Hữu Phước,Ông Đỗ Hữu Phước,Phó Tổng Giám đốc,
Ông Huỳnh Kim Nhụt,Ông Huỳnh Kim Nhụt,Ông Huỳnh Kim Nhụt,Phó Tổng Giám đốc,
Ông Lê Thanh Tú,Ông Lê Thanh Tú,Ông Lê Thanh Tú,Phó Tổng Giám đốc (Thời giữ chức vụ ngày 28/8/2023),
Ông Lê Đình Bửu Trí,Ông Lê Đình Bửu Trí,Ông Lê Đình Bửu Trí,Phó Tổng Giám đốc,
Ông Trường Minh Trung,Ông Trường Minh Trung,Ông Trường Minh Trung,Phó Tổng Giám đốc,
Ông Trần Thanh Phụng,Ông Trần Thanh Phụng,Ông Trần Thanh Phụng,Phó Tổng Giám đốc,
