row_label_raw,row_label_full,Chỉ tiêu,Sản xuất và kính doanh mũ cao su,Sản xuất và kính doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, bất động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Sản xuất và kính doanh mũ cao su,numeric__Sản xuất và kính doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, bất động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh điện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên于此 ba,Doanh thu thuần > Doanh thu thuần cho bên于此 ba,Doanh thu thuần cho bên于此 ba,16.789.149.260.156,463.839.613.275,2.363.231.642.697,908.293.816.839,663.720.540,587.551.446.908,1.025.673.652.071,-,22.138.403.152.486,16789149260156.0,463839613275.0,2363231642697.0,908293816839.0,663720540.0,587551446908.0,1025673652071.0,,22138403152486.0
Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần > Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần giữa các bộ phận (1),(3.950.767.834.123),-,(13.926.758.227),984.760.424,-,-,(320.753.482.609),4.284.463.314.535,-,-3950767834123.0,,-13926758227.0,984760424.0,,,-320753482609.0,4284463314535.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,12.838.381.426.033,463.839.613.275,2.349.304.884.470,909.278.577.263,663.720.540,587.551.446.908,704.920.169.462,4.284.463.314.535,22.138.403.152.486,12838381426033.0,463839613275.0,2349304884470.0,909278577263.0,663720540.0,587551446908.0,704920169462.0,4284463314535.0,22138403152486.0
Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,Kết quả hoạt động kính doanh,,,,,,,,,
Khẩu hao tài sản cố định,Kết quả hoạt động kính doanh > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,1.835.422.092.093,42.231.424.431,92.991.255.613,23.016.929.615,463.304.761,123.203.152.852,10.063.871.908,-,2.127.392.031.273,1835422092093.0,42231424431.0,92991255613.0,23016929615.0,463304761.0,123203152852.0,10063871908.0,,2127392031273.0
Phân dược chia từ lãi/(lỗ) của công ty liên kết,Kết quả hoạt động kính doanh > Phân dược chia từ lãi/(lỗ) của công ty liên kết,Phân dược chia từ lãi/(lỗ) của công ty liên kết,51.262.394.098,-,(290.162.898.309),30.650.848.605,-,-,-,-,(208.249.655.606),51262394098.0,,-290162898309.0,30650848605.0,,,,,-208249655606.0
Thu nhập/(lỗ) trước thuế theo bộ phận (2),Kết quả hoạt động kính doanh > Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),1.915.824.294.257,(63.333.642.338),(108.576.766.199),412.863.927.191,(5.376.906.994),263.919.268.650,(199.065.830.861),82.493.073.974,2.298.747.417.680,1915824294257.0,-63333642338.0,-108576766199.0,412863927191.0,-5376906994.0,263919268650.0,-199065830861.0,82493073974.0,2298747417680.0
Tổng tài sản (3),Kết quả hoạt động kính doanh > Tổng tài sản (3),Tổng tài sản (3),49.727.622.685.975,884.691.837.453,2.804.707.656.461,6.819.204.906.123,40.400.189.354,2.409.387.565.380,4.475.222.478.172,(5.279.837.497.179),61.881.399.821.739,49727622685975.0,884691837453.0,2804707656461.0,6819204906123.0,40400189354.0,2409387565380.0,4475222478172.0,-5279837497179.0,61881399821739.0
Tổng nợ phải trừ (4),Kết quả hoạt động kính doanh > Tổng nợ phải trừ (4),Tổng nợ phải trừ (4),9.635.853.839.493,152.476.552.997,387.431.330.582,10.009.153.491.261,8.120.036.471,107.613.338.674,483.156.433.814,(4.824.895.746.946),15.958.909.276.346,9635853839493.0,152476552997.0,387431330582.0,10009153491261.0,8120036471.0,107613338674.0,483156433814.0,-4824895746946.0,15958909276346.0
