row_label_raw,row_label_full,"CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023","CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_1","CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_2","CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_3","CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_4","CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_5","numeric__CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_1","numeric__CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_2","numeric__CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_3","numeric__CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_4","numeric__CÔNG TY CỔ PHANSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu,Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYẾT MINH BÁO CẢO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_5"
Stt,Stt,Stt,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,,,,,
,,,,Đồng Nai,,,"tù, bàn, ghế",,,,,
83,Stt > 83,83,Công ty TNHH Phát triển Cao su C.R.C.K,"Xã Don Cam Pech, huyện San Dan, Tinh Kampong Thom, Vương quốc Campuchia","100,00%","100,00%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,1.0,1.0,
84,Stt > 84,84,Công ty Cổ phần Khu công nghiệp Tân Bình,"Xã Tân Bình, huyện Bắc Tân Uyên, tỉnh Bình Dương","59,64%","95,00%","Dầu tư xây dựng và kinh doanh kết cấu hạ tầng kỹ thuật khu công nghiệp; Kinh doanh nhà ở, cho thuê văn phòng, nhà xuống, nhà kho, bến bãi",,,0.5964,0.95,
85,Stt > 85,85,Công ty Cổ phần VRG Khải Hoàn,"Âp Cầu Sát, xã Lai Hưng, huyện Bến Cát, tỉnh Bình Dương","51,04%","51,04%",Sản xuất găng tay y tế các loại,,,0.5104,0.5104,
86,Stt > 86,86,Công ty TNHH Cao su Bolikhamxay Hà Tĩnh,"Tỉnh Bolikhamxay, nước Cộng hòa Dân chủ Nhân dân Lào","100,00%","100,00%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,1.0,1.0,
87,Stt > 87,87,Công ty TNHH Phát triển Cao su Tây Ninh Siêm Riệp,"Xã Trapeang Prasat, huyện Trapeang Prasat, tỉnh Oddar Mean Cheay, Vương quốc Campuchia","60,00%","100,00%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,0.6,1.0,
88,Stt > 88,88,Công ty TNHH MTV VRG Oudomxay,"Tỉnh Oudomxay, nước Cộng hòa Dân chủ Nhân dân Lào","100,00%","100,00%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,1.0,1.0,
89,Stt > 89,89,Công ty TNHH VKETI,"Tỉnh Kratic, Vương quốc Campuchia","100,00%","100,00%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,1.0,1.0,
90,Stt > 90,90,Công ty Cổ phần Cao su Dầu Tiếng Lai Châu,"Khu 2, thị trấn Than Uyên, huyện Than Uyên, tỉnh Lai Châu","99,98%","100,00%",Trồng cây cao su; Xây dựng nhà các loại; Khai thác quặng kim loại qui hiểm,,,0.9998,1.0,
91,Stt > 91,91,Công ty TNHH Cao su Ea H’leo BM,"Tỉnh Ratanakiri, Vương quốc Campuchia","100,00%","100,00%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,1.0,1.0,
92,Stt > 92,92,Công ty TNHH Cao su Phước Hòa Đắk Lắk,"138 Hùng Vương, thị trấn Ea Súp, huyện Ea Súp, tỉnh Đắk Lắk","66,62%","100,00%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,0.6662,1.0,
93,Stt > 93,93,Công ty Cổ phần Cao su Mường Nhé Điện Biên,"Bản Mường Nhé, xã Mường Nhé, huyện Mường Nhé, tỉnh Điện Biên","100,00%","100,00%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,1.0,1.0,
94,Stt > 94,94,Công ty TNHH MTV Cao su Qua Van,"Tỉnh Salavan, nước Cộng hòa Dân chủ Nhân dân Lào","100,00%","100,00%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,1.0,1.0,
95,Stt > 95,95,Công ty Cổ phần Xuất khẩu Cao su VRG Nhật Bản,"269A Nguyễn Trọng Tuyền, phường 10, quận Phú Nhuận, TP. Hồ Chí Minh","50,00%","50,00%",Bán buôn cao su,,,0.5,0.5,
96,Stt > 96,96,Công ty Cổ phần Gỗ Lộc Ninh,"Đường Điện Biên Phú, Khu phố Ninh Thuận, thị trấn Lộc Ninh, huyện Lộc","68,17%","68,17%","Cưa, xé, bào gỗ và bảo quản gỗ; Khai thác gỗ; Sản xuất gỗ",,,0.6817,0.6817,
