row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2023 VND,01/01/2023 VND(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023 VND,numeric__01/01/2023 VND(Trình bày lại)
B. TÀI SẢN DÀI HẠN(200=210+220+230+240+250+260),B. TÀI SẢN DÀI HẠN(200=210+220+230+240+250+260),B. TÀI SẢN DÀI HẠN(200=210+220+230+240+250+260),200,,54.219.844.693.958,54.997.733.643.074,200.0,,54219844693958.0,54997733643074.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,657.484.252.712,674.543.960.596,210.0,,657484252712.0,674543960596.0
1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,212,5.04,3.585.475.244,3.049.584.972,212.0,504.0,3585475244.0,3049584972.0
2. Phải thu về cho vay dài hạn,2. Phải thu về cho vay dài hạn,2. Phải thu về cho vay dài hạn,215,5.05,798.339.917.201,811.118.551.465,215.0,505.0,798339917201.0,811118551465.0
3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,216,5.06,223.466.914.989,278.179.328.465,216.0,506.0,223466914989.0,278179328465.0
4. Dự phòng phải thu dài hạn khó đòi,4. Dự phòng phải thu dài hạn khó đòi,4. Dự phòng phải thu dài hạn khó đòi,219,5.09,(367.908.054.722),(417.803.504.306),219.0,509.0,-367908054722.0,-417803504306.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,34.438.241.979.610,33.980.726.349.462,220.0,,34438241979610.0,33980726349462.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,5.11,34.325.967.725.476,33.861.804.917.878,221.0,511.0,34325967725476.0,33861804917878.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,54.895.510.290.377,52.314.100.623.478,222.0,,54895510290377.0,52314100623478.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(20.569.542.564.901),(18.452.295.705.600),223.0,,-20569542564901.0,-18452295705600.0
2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,224,5.13,697.064.068,1.163.799.256,224.0,513.0,697064068.0,1163799256.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,225,,1.866.940.741,1.866.940.741,225.0,,1866940741.0,1866940741.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,226,,(1.169.876.673),(703.141.485),226.0,,-1169876673.0,-703141485.0
3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,227,5.12,111.577.190.066,117.757.632.328,227.0,512.0,111577190066.0,117757632328.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,203.375.045.062,202.987.056.983,228.0,,203375045062.0,202987056983.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(91.797.854.996),(85.229.424.655),229.0,,-91797854996.0,-85229424655.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,5.14,1.344.022.245.376,1.418.651.006.137,230.0,514.0,1344022245376.0,1418651006137.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,2.277.537.159.287,2.236.641.918.049,231.0,,2277537159287.0,2236641918049.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(933.514.913.911),(817.990.911.912),232.0,,-933514913911.0,-817990911912.0
IV. Tài sản dỡ dang dài hạn,IV. Tài sản dỡ dang dài hạn,IV. Tài sản dỡ dang dài hạn,240,5.15,10.774.411.544.433,12.102.434.397.879,240.0,515.0,10774411544433.0,12102434397879.0
1. Chi phí sản xuất kinh doanh dở dang dài hạn,1. Chi phí sản xuất kinh doanh dở dang dài hạn,1. Chi phí sản xuất kinh doanh dở dang dài hạn,241,,196.926.030.106,192.610.413.175,241.0,,196926030106.0,192610413175.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,,10.577.485.514.327,11.909.823.984.704,242.0,,10577485514327.0,11909823984704.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,5.02,2.956.531.742.936,2.826.988.655.514,250.0,502.0,2956531742936.0,2826988655514.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,2.184.436.484.097,2.431.387.573.533,252.0,,2184436484097.0,2431387573533.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,360.702.878.861,393.731.440.114,253.0,,360702878861.0,393731440114.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(47.107.613.940),(50.380.358.133),254.0,,-47107613940.0,-50380358133.0
4. Đầu tư nắm giữ đến ngày đáo hạn,4. Đầu tư nắm giữ đến ngày đáo hạn,4. Đầu tư nắm giữ đến ngày đáo hạn,255,,458.499.993.918,52.250.000.000,255.0,,458499993918.0,52250000000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,4.049.152.928.891,3.994.389.273.486,260.0,,4049152928891.0,3994389273486.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,5.10,3.637.589.873.576,3.674.890.909.457,261.0,510.0,3637589873576.0,3674890909457.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,5.16,115.055.154.691,168.229.975.157,262.0,516.0,115055154691.0,168229975157.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,105.873.272.385,114.354.099.253,263.0,,105873272385.0,114354099253.0
4. Lợi thế thương mại,4. Lợi thế thương mại,4. Lợi thế thương mại,269,5.17,190.634.628.239,36.914.289.619,269.0,517.0,190634628239.0,36914289619.0
TỔNG CỘNG TÀI SẢN(270 = 100+200),TỔNG CỘNG TÀI SẢN(270 = 100+200),TỔNG CỘNG TÀI SẢN(270 = 100+200),270,,78.062.093.620.098,78.447.873.682.328,270.0,,78062093620098.0,78447873682328.0
