row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Số dư tại01/01/2023VND,Số dư tại31/12/2022VND,Chênh lệnh,numeric__Mã số,numeric__Số dư tại01/01/2023VND,numeric__Số dư tại31/12/2022VND,numeric__Chênh lệnh
(2),(2),(2),(1),(3),(4),(5)=(3)-(4),-1.0,-3.0,-4.0,
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,24.932.316.138.862,24.910.884.584.621,21.431.554.241,300.0,24932316138862.0,24910884584621.0,21431554241.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,10.390.753.370.425,10.368.070.917.440,22.682.452.985,310.0,10390753370425.0,10368070917440.0,22682452985.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,916.113.778.287,916.527.004.222,(413.225.935),311.0,916113778287.0,916527004222.0,-413225935.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,652.712.412.987,617.264.087.548,35.448.325.439,313.0,652712412987.0,617264087548.0,35448325439.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,1.408.646.288.384,1.431.389.306.932,(22.743.018.548),314.0,1408646288384.0,1431389306932.0,-22743018548.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,430.853.600.076,431.790.164.016,(936.563.940),315.0,430853600076.0,431790164016.0,-936563940.0
9. Phải trả ngắn hạn khác,9. Phải trả ngắn hạn khác,9. Phải trả ngắn hạn khác,319,1.646.176.259.282,1.637.475.158.129,8.701.101.153,319.0,1646176259282.0,1637475158129.0,8701101153.0
"12. Quỹ khen thưởng, phúc lợi","12. Quỹ khen thưởng, phúc lợi","12. Quỹ khen thưởng, phúc lợi",322,1.668.066.917.776,1.665.441.082.960,2.625.834.816,322.0,1668066917776.0,1665441082960.0,2625834816.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,14.541.562.768.437,14.542.813.667.181,(1.250.898.744),330.0,14541562768437.0,14542813667181.0,-1250898744.0
13. Quỹ phát triển khoa học công nghệ,13. Quỹ phát triển khoa học công nghệ,13. Quỹ phát triển khoa học công nghệ,343,338.984.298.419,340.235.197.163,(1.250.898.744),343.0,338984298419.0,340235197163.0,-1250898744.0
D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,400,53.515.557.543.466,53.466.045.377.581,49.512.165.885,400.0,53515557543466.0,53466045377581.0,49512165885.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,53.443.146.128.753,53.391.768.872.430,51.377.256.323,410.0,53443146128753.0,53391768872430.0,51377256323.0
11. Lợi nhuận sau thuế chưa phân phối,11. Lợi nhuận sau thuế chưa phân phối,11. Lợi nhuận sau thuế chưa phân phối,421,5.020.241.316.983,4.976.693.000.886,43.548.316.097,421.0,5020241316983.0,4976693000886.0,43548316097.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,1.138.360.107.350,1.142.630.547.235,(4.270.439.885),,1138360107350.0,1142630547235.0,-4270439885.0
- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,3.881.881.209.633,3.834.062.453.651,47.818.755.982,,3881881209633.0,3834062453651.0,47818755982.0
13. Lợi ích cổ đông không kiểm soát,13. Lợi ích cổ đông không kiểm soát,13. Lợi ích cổ đông không kiểm soát,429,4.445.429.928.494,4.437.600.988.268,7.828.940.226,429.0,4445429928494.0,4437600988268.0,7828940226.0
II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,430,72.411.414.713,74.276.505.151,(1.865.090.438),430.0,72411414713.0,74276505151.0,-1865090438.0
1. Nguồn kinh phí,1. Nguồn kinh phí,1. Nguồn kinh phí,431,(39.714.829.908),(37.849.739.470),(1.865.090.438),431.0,-39714829908.0,-37849739470.0,-1865090438.0
Cộng thay đổi Nguồn vốn,Cộng thay đổi Nguồn vốn,Cộng thay đổi Nguồn vốn,,,,70.943.720.126,,,,70943720126.0
