row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2023 VND,Năm 2022 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2023 VND,numeric__Năm 2022 VND
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,6.01,22.167.764.814.943,25.475.298.231.163,1.0,601.0,22167764814943.0,25475298231163.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2,6.02,29.361.662.457,53.896.946.040,2.0,602.0,29361662457.0,53896946040.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (01 - 02),10,6.03,22.138.403.152.486,25.421.401.285.123,10.0,603.0,22138403152486.0,25421401285123.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,6.04,17.175.504.672.774,19.031.442.351.474,11.0,604.0,17175504672774.0,19031442351474.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (10 - 11),20,,4.962.898.479.712,6.389.958.933.649,20.0,,4962898479712.0,6389958933649.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,6.05,1.114.792.596.285,894.185.343.656,21.0,605.0,1114792596285.0,894185343656.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,6.06,618.011.845.618,693.655.051.039,22.0,606.0,618011845618.0,693655051039.0
Trong đó: Chỉ phí lãi vay,Trong đó: Chỉ phí lãi vay,Trong đó: Chỉ phí lãi vay,23,,477.578.421.406,490.848.598.668,23.0,,477578421406.0,490848598668.0
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,6.07,(208.249.655.606),203.589.622.831,24.0,607.0,-208249655606.0,203589622831.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,6.08,591.451.294.471,592.312.872.341,25.0,608.0,591451294471.0,592312872341.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,6.09,1.864.450.111.955,1.756.840.052.036,26.0,609.0,1864450111955.0,1756840052036.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (20+21-22+24-25-26),11. Lợi nhuận thuần từ hoạt động kinh doanh (20+21-22+24-25-26),11. Lợi nhuận thuần từ hoạt động kinh doanh (20+21-22+24-25-26),30,,2.795.528.168.347,4.444.925.924.720,30.0,,2795528168347.0,4444925924720.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,6.10,1.654.215.097.847,1.818.655.064.604,31.0,610.0,1654215097847.0,1818655064604.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,6.11,335.851.426.630,495.400.936.905,32.0,611.0,335851426630.0,495400936905.0
14. Lợi nhuận khác (31 - 32),14. Lợi nhuận khác (31 - 32),14. Lợi nhuận khác (31 - 32),40,,1.318.363.671.217,1.323.254.127.699,40.0,,1318363671217.0,1323254127699.0
15. Tổng lợi nhuận kế toán trước thuế (30+40),15. Tổng lợi nhuận kế toán trước thuế (30+40),15. Tổng lợi nhuận kế toán trước thuế (30+40),50,,4.113.891.839.564,5.768.180.052.419,50.0,,4113891839564.0,5768180052419.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,6.12,688.075.163.368,936.903.046.284,51.0,612.0,688075163368.0,936903046284.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,6.13,52.955.013.507,27.128.098.390,52.0,613.0,52955013507.0,27128098390.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (50-51-52),60,,3.372.861.662.689,4.804.148.907.745,60.0,,3372861662689.0,4804148907745.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,2.623.175.190.293,3.881.881.209.633,61.0,,2623175190293.0,3881881209633.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,749.686.472.396,922.267.698.112,62.0,,749686472396.0,922267698112.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,6.14,485,807,70.0,614.0,485.0,807.0
