row_label_raw,row_label_full,Bên liên quan,Nghiệp vụ,31/12/2023,01/01/2023,numeric__Nghiệp vụ,numeric__31/12/2023,numeric__01/01/2023
Bên liên quan,Bên liên quan,Bên liên quan,Nghiệp vụ,VND,VND,,,
Công ty CP Gỗ MDF VRG Dongwha,Bên liên quan > Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Phải thu khách hàng ngắn hạn,6.633.973.034,1.463.451.151,,6633973034.0,1463451151.0
Công ty CP Gỗ MDF VRG Dongwha,Bên liên quan > Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Người mua trả tiền trước ngắn hạn,10.007.695.900,10.389.912.764,,10007695900.0,10389912764.0
Công ty CP Gỗ MDF VRG Dongwha,Bên liên quan > Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Phải trả ngắn hạn khác,1.000.769.590,-,,1000769590.0,
Công ty CP Chí sợi Cao su VRG Sa do,Bên liên quan > Công ty CP Chí sợi Cao su VRG Sa do,Công ty CP Chí sợi Cao su VRG Sa do,Phải thu khách hàng ngắn hạn,53.158.120.644,49.966.282.628,,53158120644.0,49966282628.0
Công ty CP Chí sợi Cao su VRG Sa do,Bên liên quan > Công ty CP Chí sợi Cao su VRG Sa do,Công ty CP Chí sợi Cao su VRG Sa do,Phải trả người bán ngắn hạn,-,294.921.000,,,294921000.0
Công ty CP Cao su Bến Thành,Bên liên quan > Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Phải trả người bán ngắn hạn,12.100.000,12.100.000,,12100000.0,12100000.0
Công ty CP Cao su Bến Thành,Bên liên quan > Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Phải trả ngắn hạn khác,27.000.000,-,,27000000.0,
Công ty CP ĐTPT VRG Long Thành,Bên liên quan > Công ty CP ĐTPT VRG Long Thành,Công ty CP ĐTPT VRG Long Thành,Phải trả ngắn hạn khác,9.468.573.000,9.468.573.000,,9468573000.0,9468573000.0
Xí Nghiệp liên doanh Visorutex,Xí Nghiệp liên doanh Visorutex,Xí Nghiệp liên doanh Visorutex,Phải thu khách hàng,,,,,
Công ty CP Chế biến Gỗ Cao su Chư Pãh,Xí Nghiệp liên doanh Visorutex > Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Phải thu khách hàng ngắn hạn,-,1.784.058.008,,,1784058008.0
Công ty CP Xây dựng Cao su Đồng Nai,Xí Nghiệp liên doanh Visorutex > Công ty CP Xây dựng Cao su Đồng Nai,Công ty CP Xây dựng Cao su Đồng Nai,Phải trả người bán ngắn hạn,-,4.157.130.730,,,4157130730.0
