row_label_raw,row_label_full,Chỉ tiêu,01/01/2023VND,Số phải thu trong năm,Số đã thu trong năm,31/12/2023VND,numeric__01/01/2023VND,numeric__Số phải thu trong năm,numeric__Số đã thu trong năm,numeric__31/12/2023VND
Phải thu,Phải thu,Phải thu,393.113.031.454,692.610.934.090,719.556.199.868,420.058.297.232,393113031454.0,692610934090.0,719556199868.0,420058297232.0
- Thuế giá trị gia tăng nội địa,- Thuế giá trị gia tăng nội địa,- Thuế giá trị gia tăng nội địa,47.518.714.697,92.945.789.709,98.064.834.679,52.637.759.667,47518714697.0,92945789709.0,98064834679.0,52637759667.0
- Thuế giá trị gia tăng nhập khẩu,- Thuế giá trị gia tăng nhập khẩu,- Thuế giá trị gia tăng nhập khẩu,-,1.033.073.566,1.132.924.080,99.850.514,,1033073566.0,1132924080.0,99850514.0
"- Thuế xuất khẩu, nhập khẩu","- Thuế xuất khẩu, nhập khẩu","- Thuế xuất khẩu, nhập khẩu",388.158.865,-,-,388.158.865,388158865.0,,,388158865.0
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,130.988.587.806,170.215.524.824,173.006.972.134,133.780.035.116,130988587806.0,170215524824.0,173006972134.0,133780035116.0
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,41.192.281,6.557.781,28.028.807,62.663.307,41192281.0,6557781.0,28028807.0,62663307.0
"- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",168.496.650.558,391.596.200.659,409.856.501.020,186.756.950.919,168496650558.0,391596200659.0,409856501020.0,186756950919.0
- Thuế môn bài,- Thuế môn bài,- Thuế môn bài,2.000.000,-,-,2.000.000,2000000.0,,,2000000.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,14.388.504.040,32.569.530.806,37.191.586.359,19.010.559.593,14388504040.0,32569530806.0,37191586359.0,19010559593.0
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,142.569.688,173.428.395,175.338.547,144.479.840,142569688.0,173428395.0,175338547.0,144479840.0
"- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác",31.146.653.519,4.070.828.350,100.014.242,27.175.839.411,31146653519.0,4070828350.0,100014242.0,27175839411.0
Cộng,Cộng,Cộng,393.113.031.454,692.610.934.090,719.556.199.868,420.058.297.232,393113031454.0,692610934090.0,719556199868.0,420058297232.0
