row_label_raw,row_label_full,Sht,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Tên công ty liên kết,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
6,6,6,Công ty Cổ phần gỗ MDF VRG Dongwha,"Lô G, Khu công nghiệp Minh Hưng III, xã Minh Hưng, huyện Chơn Thành, Tỉnh Bình Phước","49,00%","49,00%","Trồng rừng, khai thác, chế biến gỗ, đảm nguyên liệu; Sản xuất, kinh doanh gỗ nhân tạo MDF, hóa chất phục vụ ngành gỗ",,,0.49,0.49,
7,7,7,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,"Số 636 đường Võ Văn Kiệt, phường 1, quận 5, TP. Hồ Chí Minh","27,14%","27,14%","Khai hoang, trồng mới, chăm sóc, khai thác, chế biến và mua bán các sản phẩm từ cây cao su; sản xuất mua bán, chế biến nông lâm sản xuất khẩu",,,0.27140000000000003,0.27140000000000003,
8,8,8,Công ty Cổ phần Cao su Bến Thành,"Lô B3,1 KCN Tây Bắc Củ Chi, TP. Hồ Chí Minh","48,85%","48,85%","Sản xuất và mua bán sản phẩm cao su; Băng tải, dây curroie, cao su nguyên liệu, sản phẩm cao su kỹ thuật",,,0.4885,0.4885,
9,9,9,Công ty Cổ phần Xây dựng Cao su Đồng Nai,"Đường số 1, ấp Trung Tâm, xã Xuân Lập, thị xã Long Khánh, tỉnh Đồng Nai","26,91%","31,13%","Xây dựng công trình dân dụng, công nghiệp, giao thông, thuỷ lợi; Sản xuất vật liệu xây dựng: Bêttông tươi, bêtông nhựa nóng, ống cống, cấu kiện bề tông dốc sẵn; Trồng, khai thác, chế biến và mua bán sản phẩm cây nông nghiệp và công nghiệp",,,0.2691,0.31129999999999997,
10,10,10,Công ty Cổ phần Lộc Thịnh,"KCN Nhơn Trạch 2, Lộc Khang, xã Hiệp Phước, huyện Nhơn Trạch, tỉnh Đồng Nai","32,59%","32,59%","Xây dựng công trình đường sắt và đường bộ; Xây dựng công trình giao thông; Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc di thuê; Dầu tư xây dựng hạ tầng khu công nghiệp",,,0.3259,0.3259,
11,11,11,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,"Lô K5, K6, K7 Đường N9A, KCN Đầu Giấy, xã Bau Hàm 2, huyện Thống Nhất, tỉnh Đồng Nai","49,06%","49,06%","Sản xuất sợi nhân tạo, sản xuất sản phẩm khác từ cao su",,,0.49060000000000004,0.49060000000000004,
12,12,12,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,"Văn phòng Nông trường Long Thành, Khu 13, xã Long Đức, huyện Long Thành, tỉnh Đồng Nai","8,46%","20,00%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc di thuê; Xây dựng nhà các loại; Xây dựng công trình đường sắt và đường bộ",,,0.08460000000000001,0.2,
13,13,13,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,"Khu Công nghiệp Ia Khurol, thôn Tân Lập, xã Ia Khurol, huyện Chư Pãh, tỉnh Gia Lai","34,32%","34,32%","Khai thác gỗ; Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rom, rạ và vật liệu tét bên",,,0.3432,0.3432,
14,14,14,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,"Số 16 Võ Liêm Sơn, TP. Hà Tĩnh, tỉnh Hà Tĩnh","36,00%","36,00%",Khai thác khoáng hoá chất và khoáng phân bón; Thoát nước và xử lý nước thải Xây dựng công trình kỹ thuật dân dụng,,,0.36,0.36,
