row_label_raw,row_label_full,- Nguồn kinh phí đầu năm > - Nguồn kinh phí được cấp trong năm,31/12/2023VND > (39.714.829.908) > 79.121.162.382,01/01/2023VND > (37.991.052.791) > 86.972.926.119,numeric__31/12/2023VND > (39.714.829.908) > 79.121.162.382,numeric__01/01/2023VND > (37.991.052.791) > 86.972.926.119
- Chi sự nghiệp,- Chi sự nghiệp,- Chi sự nghiệp,(93.211.030.064),(88.696.703.236),-93211030064.0,-88696703236.0
- Nguồn kinh phí còn lại cuối năm,- Nguồn kinh phí còn lại cuối năm,- Nguồn kinh phí còn lại cuối năm,(53.804.697.590),(39.714.829.908),-53804697590.0,-39714829908.0
