row_label_raw,row_label_full,col_0,31/12/2023 (VND),31/12/2023 (VND)_1,01/01/2023 (VND),01/01/2023 (VND)_1,numeric__31/12/2023 (VND),numeric__31/12/2023 (VND)_1,numeric__01/01/2023 (VND),numeric__01/01/2023 (VND)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
- Hàng mua đang đi đường,- Hàng mua đang đi đường,- Hàng mua đang đi đường,9.909.112.369,-,16.208.052.550,,9909112369.0,,16208052550.0,
"- Nguyên liệu, vật liệu tồn kho","- Nguyên liệu, vật liệu tồn kho","- Nguyên liệu, vật liệu tồn kho",452.245.063.732,(751.382.751),223.069.952.103,(407.149.160),452245063732.0,-751382751.0,223069952103.0,-407149160.0
"- Công cụ, dụng cụ trong kho","- Công cụ, dụng cụ trong kho","- Công cụ, dụng cụ trong kho",211.621.024.903,(5.905.000),239.674.503.934,,211621024903.0,-5905000.0,239674503934.0,
- Chi phí SXKD dở dang,- Chi phí SXKD dở dang,- Chi phí SXKD dở dang,715.118.607.652,-,768.333.470.417,,715118607652.0,,768333470417.0,
- Thành phẩm tồn kho,- Thành phẩm tồn kho,- Thành phẩm tồn kho,1.787.759.336.395,(22.069.281.616),2.529.550.298.355,(70.160.080.057),1787759336395.0,-22069281616.0,2529550298355.0,-70160080057.0
- Hàng hóa tồn kho,- Hàng hóa tồn kho,- Hàng hóa tồn kho,186.540.304.553,(5.035.837.383),422.551.464.866,(28.890.894.085),186540304553.0,-5035837383.0,422551464866.0,-28890894085.0
- Hàng gửi đi bán,- Hàng gửi đi bán,- Hàng gửi đi bán,11.198.524.232,(34.865.443),17.681.211.712,(34.865.443),11198524232.0,-34865443.0,17681211712.0,-34865443.0
- Hàng hóa bắt động sản,- Hàng hóa bắt động sản,- Hàng hóa bắt động sản,13.745.601.075,-,13.745.601.075,,13745601075.0,,13745601075.0,
Tổng,Tổng,Tổng,3.388.137.574.911,(27.897.272.193),4.230.814.555.012,(99.492.988.745),3388137574911.0,-27897272193.0,4230814555012.0,-99492988745.0
