row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2023 VND,01/01/2023 VND(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023 VND,numeric__01/01/2023 VND(Trình bày lại)
A - TÀI SẢN NGẮN HẠN(100=110+120+130+140+150),A - TÀI SẢN NGẮN HẠN(100=110+120+130+140+150),A - TÀI SẢN NGẮN HẠN(100=110+120+130+140+150),100,,23.842.248.926.140,23.450.140.039.254,100.0,,23842248926140.0,23450140039254.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.01,5.564.089.010.514,4.370.292.544.522,110.0,501.0,5564089010514.0,4370292544522.0
1. Tiền,1. Tiền,1. Tiền,111,,2.334.647.911.242,2.524.970.651.890,111.0,,2334647911242.0,2524970651890.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,3.229.441.099.272,1.845.321.892.632,112.0,,3229441099272.0,1845321892632.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5.02,11.355.359.823.009,11.211.639.477.968,120.0,502.0,11355359823009.0,11211639477968.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,1.163.634.161,1.163.634.161,121.0,,1163634161.0,1163634161.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,(68.237.000),(68.237.000),122.0,,-68237000.0,-68237000.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,123,,11.354.264.425.848,11.210.544.080.807,123.0,,11354264425848.0,11210544080807.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,2.546.020.285.787,2.762.927.647.630,130.0,,2546020285787.0,2762927647630.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.03,1.431.437.222.156,1.441.058.198.622,131.0,503.0,1431437222156.0,1441058198622.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,5.04,429.506.912.582,449.167.018.142,132.0,504.0,429506912582.0,449167018142.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,5.05,8.048.249.000,10.384.605.161,135.0,505.0,8048249000.0,10384605161.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.06,922.609.139.120,1.051.378.164.970,136.0,506.0,922609139120.0,1051378164970.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,5.09,(312.530.530.881),(228.237.508.586),137.0,509.0,-312530530881.0,-228237508586.0
6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,139,5.07,66.949.293.810,39.177.169.321,139.0,507.0,66949293810.0,39177169321.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,5.08,3.360.240.302.718,4.131.321.566.267,140.0,508.0,3360240302718.0,4131321566267.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,3.388.137.574.911,4.230.814.555.012,141.0,,3388137574911.0,4230814555012.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(27.897.272.193),(99.492.988.745),149.0,,-27897272193.0,-99492988745.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,1.016.539.504.112,973.958.802.867,150.0,,1016539504112.0,973958802867.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,5.10,69.180.592.590,64.103.557.619,151.0,510.0,69180592590.0,64103557619.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,527.300.614.290,516.742.213.794,152.0,,527300614290.0,516742213794.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,5.20,420.058.297.232,393.113.031.454,153.0,520.0,420058297232.0,393113031454.0
