row_label_raw,row_label_full,"CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023","CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_1","CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_2","CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_3","CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_4",Mẫu số B 09 - DN/HINBan hành theo Thông tư số 202/2014/TT- BTCNgày 22/12/2014 của Bộ Tài chính > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023,"numeric__CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_1","numeric__CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_2","numeric__CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_3","numeric__CÔNG TY CỔ PHÁNSố 236 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh,CHXHCN Việt Nam > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023_4",numeric__Mẫu số B 09 - DN/HINBan hành theo Thông tư số 202/2014/TT- BTCNgày 22/12/2014 của Bộ Tài chính > BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2023
Stt,Stt,Stt,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,,,,,
59,Stt > 59,59,Công ty Cổ phần Cao Su Đồng Nai Kratie,"Âp Trung Tâm, xã Xuân Lập, thị xã Long Khánh, tỉnh Đồng Nai","88,73%","88,73%","Trồng, khai thác và chế biến cao su và cây nông nghiệp.Sản xuất, mua bán vật tư nông nghiệp",,,0.8873000000000001,0.8873000000000001,
60,Stt > 60,60,Công ty Cổ phần Thủy điện VRG Ngọc Linh,"Thị trấn Đắk GLei, huyện Đắk Glei, tỉnh Kon Tum","77,46%","99,38%","Sản xuất, truyền tải và phân phối điện",,,0.7746,0.9937999999999999,
61,Stt > 61,61,Công ty Cổ phần Cao su Kỹ thuật Đồng Phú,"Xã Tân Lập, huyện Đồng Phú, tỉnh Bình Phước","41,54%","74,44%","Chế biến cao su kỹ thuật và các sản phẩm dân dụng từ cao su; Kinh doanh thương mại, xuất nhập khẩu cao su, vật tư, phân bón, hóa chất",,,0.4154,0.7444,
62,Stt > 62,62,Công ty Cổ phần Cao su Bảo Lâm,"Xã Lộc Bảo, huyện Bảo Lâm, tỉnh Lâm Đồng","93,83%","93,83%","Trồng, khai thác và chế biến cao su thiên nhiên. Quản lý, bảo vệ, trồng rừng, khai thác và chế biến làm sản",,,0.9383,0.9383,
63,Stt > 63,63,Công ty Cổ phần Công nghiệp An Điền,"Khu Công Nghiệp Rạch Bắp, đường D1, xã An Điền, huyện Bến Cát, tỉnh Bình Dương","92,67%","97,00%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,0.9267,0.97,
64,Stt > 64,64,Công ty Cổ phần Gỗ MDF VRG Kiên Giang,"Lô M, dưỡng số 1, KCN Thạnh Lộc, xã Thạnh Lộc, huyện Châu Thành, tỉnh Kiên Giang","99,82%","100,00%","Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác; Trồng rừng và chăm sóc rừng",,,0.9982,1.0,
65,Stt > 65,65,Công ty Cổ phần Đầu tư Xây dựng Cao su Phú Thịnh,"Thôn Phú Nguyên, huyện Phú Riềng, tỉnh Bình Phước","90,51%","91,49%","Trồng, chăm sóc, khai thác và chế biến mũ cao su; chế biến gỗ",,,0.9051,0.9148999999999999,
66,Stt > 66,66,Công ty Cổ phần Chế biến Xuất nhập khẩu Gỗ Tây Ninh,"Âp Bến Mương, xã Thạnh Đức, huyện Gò Dầu, tỉnh Tây Ninh","50,67%","70,60%","Cưa, xẻ, bảo gỗ và bảo quản gỗ; Khai thác gỗ; Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác",,,0.5067,0.706,
67,Stt > 67,67,Công ty Cổ phần Cơ khí Vận tải Cao su Dầu Tiếng,"Khu phố 4A thị trấn Dầu Tiếng, huyện Dầu Tiếng, tỉnh Bình Dương","59,03%","62,54%","Dịch vụ vận tải hàng hóa bằng đường bộ; Sửa chữa máy móc, thiết bị sản xuất; Sửa chữa máy móc, thiết bị phương tiện vận tải (trừ thiết kế phương tiện giao thông đường bộ)",,,0.5903,0.6254,
