row_label_raw,row_label_full,TÀI SẢN,Mã số,Số dư tại01/01/2023VND,Số dư tại31/12/2022VND,Đơn vị tính: VNDChênh lệnh,numeric__Mã số,numeric__Số dư tại01/01/2023VND,numeric__Số dư tại31/12/2022VND,numeric__Đơn vị tính: VNDChênh lệnh
A. TÀI SẢN NGÂN HẠN,A. TÀI SẢN NGÂN HẠN,A. TÀI SẢN NGÂN HẠN,100,23.450.140.039.254,23.395.887.056.867,54.252.982.387,100.0,23450140039254.0,23395887056867.0,54252982387.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,2.762.927.647.630,2.731.930.551.368,30.997.096.262,130.0,2762927647630.0,2731930551368.0,30997096262.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,1.441.058.198.622,1.449.219.403.616,(8.161.204.994),131.0,1441058198622.0,1449219403616.0,-8161204994.0
5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,135,10.384.605.161,10.547.295.649,(162.690.488),135.0,10384605161.0,10547295649.0,-162690488.0
6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,136,1.051.378.164.970,1.022.960.729.759,28.417.435.211,136.0,1051378164970.0,1022960729759.0,28417435211.0
7. Dự phòng phải thu ngắn hạn khó đòi,7. Dự phòng phải thu ngắn hạn khó đòi,7. Dự phòng phải thu ngắn hạn khó đòi,137,(228.237.508.586),(235.602.862.011),7.365.353.425,137.0,-228237508586.0,-235602862011.0,7365353425.0
8. Tài sản thiếu chờ xử lý,8. Tài sản thiếu chờ xử lý,8. Tài sản thiếu chờ xử lý,139,39.177.169.321,35.638.966.213,3.538.203.108,139.0,39177169321.0,35638966213.0,3538203108.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,4.131.321.566.267,4.115.559.185.816,15.762.380.451,140.0,4131321566267.0,4115559185816.0,15762380451.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,4.230.814.555.012,4.216.169.532.635,14.645.022.377,141.0,4230814555012.0,4216169532635.0,14645022377.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,(99.492.988.745),(100.610.346.819),1.117.358.074,149.0,-99492988745.0,-100610346819.0,1117358074.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,973.958.802.867,966.465.297.193,7.493.505.674,150.0,973958802867.0,966465297193.0,7493505674.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,64.103.557.619,63.791.969.619,311.588.000,151.0,64103557619.0,63791969619.0,311588000.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,516.742.213.794,516.763.580.296,(21.366.502),152.0,516742213794.0,516763580296.0,-21366502.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,393.113.031.454,385.909.747.278,7.203.284.176,153.0,393113031454.0,385909747278.0,7203284176.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,54.997.733.643.074,54.981.042.905.335,16.690.737.739,200.0,54997733643074.0,54981042905335.0,16690737739.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,674.543.960.596,674.381.270.108,162.690.488,210.0,674543960596.0,674381270108.0,162690488.0
3. Phải thu về cho vay dài hạn,3. Phải thu về cho vay dài hạn,3. Phải thu về cho vay dài hạn,215,811.118.551.465,810.955.860.977,162.690.488,215.0,811118551465.0,810955860977.0,162690488.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,33.980.726.349.462,33.943.662.353.232,37.063.996.230,220.0,33980726349462.0,33943662353232.0,37063996230.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,33.861.804.917.878,33.824.878.699.426,36.926.218.452,221.0,33861804917878.0,33824878699426.0,36926218452.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,52.314.100.623.478,52.268.338.305.685,45.762.317.793,222.0,52314100623478.0,52268338305685.0,45762317793.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(18.452.295.705.600),(18.443.459.606.259),(8.836.099.341),223.0,-18452295705600.0,-18443459606259.0,-8836099341.0
