row_label_raw,row_label_full,Ngắn hạn,31/12/2023VND,01/01/2023VND,numeric__31/12/2023VND,numeric__01/01/2023VND
- Chi phí công cụ dụng cụ,- Chi phí công cụ dụng cụ,- Chi phí công cụ dụng cụ,3.414.592.485,16.828.764.782,3414592485.0,16828764782.0
- Chi phí sửa chữa,- Chi phí sửa chữa,- Chi phí sửa chữa,1.419.471.172,2.720.149.238,1419471172.0,2720149238.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,64.346.528.933,44.554.643.599,64346528933.0,44554643599.0
Tổng,Tổng,Tổng,69.180.592.590,64.103.557.619,69180592590.0,64103557619.0
,,,31/12/2023VND,01/01/2023VND,,
Dải hạn,Dải hạn,Dải hạn,,,,
- Chi phí công cụ dụng cụ,Dải hạn > - Chi phí công cụ dụng cụ,- Chi phí công cụ dụng cụ,216.735.601.548,255.933.149.107,216735601548.0,255933149107.0
- Chi phí sửa chữa,Dải hạn > - Chi phí sửa chữa,- Chi phí sửa chữa,177.755.558.298,165.126.077.147,177755558298.0,165126077147.0
- Chi phí đề tài nguồn quỹ KHCN,Dải hạn > - Chi phí đề tài nguồn quỹ KHCN,- Chi phí đề tài nguồn quỹ KHCN,478.751.506,396.124.406,478751506.0,396124406.0
- Trả trước tiền thuê đất,Dải hạn > - Trả trước tiền thuê đất,- Trả trước tiền thuê đất,2.654.566.441.380,2.753.787.313.818,2654566441380.0,2753787313818.0
- Chi phí hoa hồng môi giới,Dải hạn > - Chi phí hoa hồng môi giới,- Chi phí hoa hồng môi giới,34.383.538.132,33.060.918.589,34383538132.0,33060918589.0
- Chi phí đèn bù,Dải hạn > - Chi phí đèn bù,- Chi phí đèn bù,103.347.988.610,112.858.613.416,103347988610.0,112858613416.0
- Chi phí khác,Dải hạn > - Chi phí khác,- Chi phí khác,450.321.994.102,353.728.712.974,450321994102.0,353728712974.0
Tổng,Dải hạn > Tổng,Tổng,3.637.589.873.576,3.674.890.909.457,3637589873576.0,3674890909457.0
