row_label_raw,row_label_full,Ngắn hạn,31/12/2023VND,01/01/2023VND,numeric__31/12/2023VND,numeric__01/01/2023VND
- Lãi vay phải trả,- Lãi vay phải trả,- Lãi vay phải trả,83.438.173.613,98.056.765.714,83438173613.0,98056765714.0
- Chi phí sửa chữa lớn TSCD,- Chi phí sửa chữa lớn TSCD,- Chi phí sửa chữa lớn TSCD,-,-,,
- Trích trước tiền thuê đất,- Chi phí sửa chữa lớn TSCD > - Trích trước tiền thuê đất,- Trích trước tiền thuê đất,16.822.415.017,16.638.052.927,16822415017.0,16638052927.0
- Trích trước chi phí dịch vụ thuê ngoài,- Chi phí sửa chữa lớn TSCD > - Trích trước chi phí dịch vụ thuê ngoài,- Trích trước chi phí dịch vụ thuê ngoài,1.877.508.789,8.408.433.728,1877508789.0,8408433728.0
- Chi phí khác,- Chi phí sửa chữa lớn TSCD > - Chi phí khác,- Chi phí khác,282.256.105.477,307.750.347.707,282256105477.0,307750347707.0
Tổng,- Chi phí sửa chữa lớn TSCD > Tổng,Tổng,384.394.202.896,430.853.600.076,384394202896.0,430853600076.0
,,,31/12/2023VND,01/01/2023VND,,
Dài hạn,Dài hạn,Dài hạn,,,,
- Trích trước giá vốn khu công nghiệp,Dài hạn > - Trích trước giá vốn khu công nghiệp,- Trích trước giá vốn khu công nghiệp,185.195.828.137,-,185195828137.0,
- Chi phí khác,Dài hạn > - Chi phí khác,- Chi phí khác,147.443.767.795,264.473.290.729,147443767795.0,264473290729.0
Tổng,Dài hạn > Tổng,Tổng,332.639.595.932,264.473.290.729,332639595932.0,264473290729.0
5.22 Doanh thu chưa thực hiện,5.22 Doanh thu chưa thực hiện,5.22 Doanh thu chưa thực hiện,5.22 Doanh thu chưa thực hiện,5.22 Doanh thu chưa thực hiện,,
,,,31/12/2023VND,01/01/2023VND,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
"- Doanh thu bán sản phẩm, hàng hóa, dịch vụ","Ngắn hạn > - Doanh thu bán sản phẩm, hàng hóa, dịch vụ","- Doanh thu bán sản phẩm, hàng hóa, dịch vụ",39.183.658.618,33.579.831.724,39183658618.0,33579831724.0
"- Doanh thu cho thuê hạ tầng, khu dân cư","Ngắn hạn > - Doanh thu cho thuê hạ tầng, khu dân cư","- Doanh thu cho thuê hạ tầng, khu dân cư",302.357.214.614,290.024.562.903,302357214614.0,290024562903.0
Tổng,Ngắn hạn > Tổng,Tổng,341.540.873.232,323.604.394.627,341540873232.0,323604394627.0
,,,31/12/2023VND,01/01/2023VND,,
Dài hạn,Dài hạn,Dài hạn,,,,
"- Doanh thu bán sản phẩm, hàng hóa, dịch vụ","Dài hạn > - Doanh thu bán sản phẩm, hàng hóa, dịch vụ","- Doanh thu bán sản phẩm, hàng hóa, dịch vụ",3.230.585.284,5.350.548.007,3230585284.0,5350548007.0
"- Doanh thu cho thuê hạ tầng, khu dân cư","Dài hạn > - Doanh thu cho thuê hạ tầng, khu dân cư","- Doanh thu cho thuê hạ tầng, khu dân cư",8.944.245.194.914,9.088.061.012.934,8944245194914.0,9088061012934.0
Tổng,Dài hạn > Tổng,Tổng,8.947.475.780.198,9.093.411.560.941,8947475780198.0,9093411560941.0
