row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền, bằng sáng chế","Phần mềm, bản quyền máy tính",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế","numeric__Phần mềm, bản quyền máy tính",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,125.190.116.178,996.381.619,54.480.183.576,22.320.375.610,202.987.056.983,125190116178.0,996381619.0,54480183576.0,22320375610.0,202987056983.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,-,-,704.339.707,1.173.008.387,1.877.348.094,,,704339707.0,1173008387.0,1877348094.0
- Tăng khác,Nguyên giá TSCĐ vô hình > - Tăng khác,- Tăng khác,997.194.500,,,,997.194.500,997194500.0,,,,997194500.0
- Giảm khác,Nguyên giá TSCĐ vô hình > - Giảm khác,- Giảm khác,(1.760.250.415),,,,(1.760.250.415),-1760250415.0,,,,-1760250415.0
- Chênh lệch do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(105.377.201),,(654.318.884),33.391.985,(726.304.100),-105377201.0,,-654318884.0,33391985.0,-726304100.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,124.321.683.062,996.381.619,54.530.204.399,23.526.775.982,203.375.045.062,124321683062.0,996381619.0,54530204399.0,23526775982.0,203375045062.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.327.651.451,981.147.289,46.942.621.615,10.978.004.300,85.229.424.655,26327651451.0,981147289.0,46942621615.0,10978004300.0,85229424655.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,1.826.006.017,-,1.710.044.184,3.101.778.641,6.637.828.842,1826006017.0,,1710044184.0,3101778641.0,6637828842.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",254.047.211,,-,,254.047.211,254047211.0,,,,254047211.0
- Chênh lệch do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,-,,148.049.900,-,148.049.900,,,148049900.0,,148049900.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(471.495.612),,,-,(471.495.612),-471495612.0,,,,-471495612.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,27.936.209.067,981.147.289,48.800.715.699,14.079.782.941,91.797.854.996,27936209067.0,981147289.0,48800715699.0,14079782941.0,91797854996.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,98.862.464.727,15.234.330,7.537.561.961,11.342.371.310,117.757.632.328,98862464727.0,15234330.0,7537561961.0,11342371310.0,117757632328.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,96.385.473.995,15.234.330,5.729.488.700,9.446.993.041,111.577.190.066,96385473995.0,15234330.0,5729488700.0,9446993041.0,111577190066.0
