row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2022(sau điều chỉnh),Năm 2022(trước điều chỉnh),Chênh lệch,numeric__Mã số,numeric__Năm 2022(sau điều chỉnh),numeric__Năm 2022(trước điều chỉnh),numeric__Chênh lệch
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,5.768.180.052.419,5.701.619.330.944,66.560.721.475,1.0,5768180052419.0,5701619330944.0,66560721475.0
2. Điều chỉnh cho các khoản,I. Lưu chuyển tiền từ hoạt động kinh doanh > 2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,1.743.988.310.076,1.756.251.639.894,(12.263.329.818),,1743988310076.0,1756251639894.0,-12263329818.0
- Các khoản dự phòng,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Các khoản dự phòng,- Các khoản dự phòng,03,16.249.907.119,28.513.236.937,(12.263.329.818),3.0,16249907119.0,28513236937.0,-12263329818.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,I. Lưu chuyển tiền từ hoạt động kinh doanh > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,7.512.168.362.495,7.457.870.970.838,54.297.391.657,8.0,7512168362495.0,7457870970838.0,54297391657.0
"- Tăng, giảm các khoản phải thu","I. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,129.477.105.416,153.271.538.741,(23.794.433.325),9.0,129477105416.0,153271538741.0,-23794433325.0
"- Tăng, giảm hàng tồn kho","I. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,(697.830.350.179),(683.185.327.802),(14.645.022.377),10.0,-697830350179.0,-683185327802.0,-14645022377.0
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","I. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(646.341.127.416),(666.397.745.585),20.056.618.169,11.0,-646341127416.0,-666397745585.0,20056618169.0
"- Tăng, giảm chi phí trả trước","I. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,(1.773.239.836),(30.027.812.753),28.254.572.917,12.0,-1773239836.0,-30027812753.0,28254572917.0
- Tiền chi khác cho hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Tiền chi khác cho hoạt động kinh doanh,- Tiền chi khác cho hoạt động kinh doanh,17,(4.769.620.082.443),(4.705.450.955.402),(64.169.127.041),17.0,-4769620082443.0,-4705450955402.0,-64169127041.0
