row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiệnvận tải truyền dẫn,Thiết bịdụng cụ quản lý,Vườn câykinh doanh,Tài sảncó định khác,Đơn vị tính: VND,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải truyền dẫn,numeric__Thiết bịdụng cụ quản lý,numeric__Vườn câykinh doanh,numeric__Tài sảncó định khác,numeric__Đơn vị tính: VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,12.349.855.034.346,6.256.243.983.794,2.045.122.672.088,282.515.869.706,31.280.443.835.485,99.919.228.060,52.314.100.623.478,12349855034346.0,6256243983794.0,2045122672088.0,282515869706.0,31280443835485.0,99919228060.0,52314100623478.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,10.442.747.292,104.743.301.517,57.749.013.511,2.313.822.842,-,-,175.248.885.162,10442747292.0,104743301517.0,57749013511.0,2313822842.0,,,175248885162.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,446.082.372.530,75.546.189.374,26.836.223.550,2.559.548.206,1.907.977.354.370,-,2.459.001.688.030,446082372530.0,75546189374.0,26836223550.0,2559548206.0,1907977354370.0,,2459001688030.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,12.222.637.434,3.083.115.412,808.382.422,59.749.835,185.730.432.448,-,201.904.317.551,12222637434.0,3083115412.0,808382422.0,59749835.0,185730432448.0,,201904317551.0
- Chênh lệch do chuyển đổiBCTC,Nguyên giá > - Chênh lệch do chuyển đổiBCTC,- Chênh lệch do chuyển đổiBCTC,8.623.390.623,19.249.334.514,15.970.484,(239.847.791),85.706.635.213,4.139.654,113.359.622.697,8623390623.0,19249334514.0,15970484.0,-239847791.0,85706635213.0,4139654.0,113359622697.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,3.935.921.334,647.231.818,-,-,1,-,4.583.153.153,3935921334.0,647231818.0,,,1.0,,4583153153.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(21.963.107.607),(22.501.554.181),(41.330.739.241),(1.942.746.734),(253.777.796.326),(525.983.234),(342.041.927.323),-21963107607.0,-22501554181.0,-41330739241.0,-1942746734.0,-253777796326.0,-525983234.0,-342041927323.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(4.088.636.141),(2.536.346.686),(631.822.321),(805.134.286),(17.391.897.004),(609.082.780),(26.062.919.218),-4088636141.0,-2536346686.0,-631822321.0,-805134286.0,-17391897004.0,-609082780.0,-26062919218.0
- Giảm do phân loại lại,Nguyên giá > - Giảm do phân loại lại,- Giảm do phân loại lại,-,-,-,(647.231.819),-,(3.935.921.334),(4.583.153.153),,,,-647231819.0,,-3935921334.0,-4583153153.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,12.805.110.359.811,6.434.475.255.562,2.088.569.700.493,283.814.029.959,33.188.688.564.187,94.852.380.366,54.895.510.290.377,12805110359811.0,6434475255562.0,2088569700493.0,283814029959.0,33188688564187.0,94852380366.0,54895510290377.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.821.483.246.155,4.009.014.758.588,1.419.337.788.365,247.014.623.555,5.883.171.348.862,72.273.940.075,18.452.295.705.600,6821483246155.0,4009014758588.0,1419337788365.0,247014623555.0,5883171348862.0,72273940075.0,18452295705600.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,534.515.812.299,263.636.576.585,99.945.415.019,7.181.788.359,1.457.664.399.531,3.320.153.916,2.366.264.145.709,534515812299.0,263636576585.0,99945415019.0,7181788359.0,1457664399531.0,3320153916.0,2366264145709.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,11.088.472.311,923.989.829,732.530.553,59.749.835,38.916.809.166,-,51.721.551.694,11088472311.0,923989829.0,732530553.0,59749835.0,38916809166.0,,51721551694.0
- Chênh lệch do chuyển đổiBCTC,Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổiBCTC,- Chênh lệch do chuyển đổiBCTC,(5.439.217.110),(1.248.178.332),(1.710.167.989),(143.938.676),(801.680.254),1.387.302,(9.341.795.059),-5439217110.0,-1248178332.0,-1710167989.0,-143938676.0,-801680254.0,1387302.0,-9341795059.0
- Tăng do phân loại lại,Giá trị hao mòn lũy kế > - Tăng do phân loại lại,- Tăng do phân loại lại,289.563.542,773.889.020,1.430.691.954,416.226.439,1.093.278.534,206.275.568,4.209.925.057,289563542.0,773889020.0,1430691954.0,416226439.0,1093278534.0,206275568.0,4209925057.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(21.896.735.645),(22.425.131.761),(39.662.154.884),(1.904.361.072),(199.303.361.956),(525.983.234),(285.717.728.552),-21896735645.0,-22425131761.0,-39662154884.0,-1904361072.0,-199303361956.0,-525983234.0,-285717728552.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(1.903.822.557),(2.033.022.017),(328.614.564),(805.134.286),(72.370.911),(536.350.156),(5.679.314.491),-1903822557.0,-2033022017.0,-328614564.0,-805134286.0,-72370911.0,-536350156.0,-5679314491.0
- Giảm do phân loại lại,Giá trị hao mòn lũy kế > - Giảm do phân loại lại,- Giảm do phân loại lại,(2.708.745.561),(529.991.854),(240.227.644),(441.396.518),-,(289.563.480),(4.209.925.057),-2708745561.0,-529991854.0,-240227644.0,-441396518.0,,-289563480.0,-4209925057.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.335.428.573.434,4.248.112.890.058,1.479.505.260.810,251.377.557.636,7.180.668.422.972,74.449.859.991,20.569.542.564.901,7335428573434.0,4248112890058.0,1479505260810.0,251377557636.0,7180668422972.0,74449859991.0,20569542564901.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại > - Tại ngày đầu năm,- Tại ngày đầu năm,5.528.371.788.190,2.247.229.225.206,625.784.883.723,35.501.246.151,25.397.272.486.623,27.645.287.985,33.861.804.917.878,5528371788190.0,2247229225206.0,625784883723.0,35501246151.0,25397272486623.0,27645287985.0,33861804917878.0
- Tại ngày cuối năm,Giá trị còn lại > - Tại ngày cuối năm,- Tại ngày cuối năm,5.469.681.786.376,2.186.362.365.504,609.064.439.683,32.436.472.323,26.008.020.141.215,20.402.520.375,34.325.967.725.476,5469681786376.0,2186362365504.0,609064439683.0,32436472323.0,26008020141215.0,20402520375.0,34325967725476.0
