row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm 2023,Năm 2022,numeric__Chức vụ,numeric__Năm 2023,numeric__Năm 2022
,,,,VND,VND,,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,5.946.286.873,6.282.490.000,,5946286873.0,6282490000.0
Ông Trần Công Kha,Ông Trần Công Kha,Ông Trần Công Kha,Chủ tịch HDQT,1.026.214.711,1.077.265.000,,1026214711.0,1077265000.0
Ông Lê Thanh Hưng,Ông Lê Thanh Hưng,Ông Lê Thanh Hưng,Thành viên HĐQT,997.708.746,1.047.366.000,,997708746.0,1047366000.0
,,,Tổng Giám đốc,,,,,
Ông Trần Ngọc Thuận,Ông Trần Ngọc Thuận,Ông Trần Ngọc Thuận,Thành viên HDQT,912.190.854,957.669.000,,912190854.0,957669000.0
Ông Huỳnh Văn Bảo,Ông Huỳnh Văn Bảo,Ông Huỳnh Văn Bảo,Thành viên HĐQT,912.190.854,957.669.000,,912190854.0,957669000.0
Ông Hà Văn Khương,Ông Hà Văn Khương,Ông Hà Văn Khương,Thành viên HDQT,912.190.854,957.669.000,,912190854.0,957669000.0
Ông Phạm Văn Thành,Ông Phạm Văn Thành,Ông Phạm Văn Thành,Thành viên HDQT,912.190.854,957.669.000,,912190854.0,957669000.0
Ông Phan Mạnh Hùng,Ông Phan Mạnh Hùng,Ông Phan Mạnh Hùng,Thành viên HDQT,136.800.000,143.640.000,,136800000.0,143640000.0
Ông Nguyễn Hay,Ông Nguyễn Hay,Ông Nguyễn Hay,Thành viên HĐQT,136.800.000,143.640.000,,136800000.0,143640000.0
Ông Trần Đức Thuận,Ông Trần Đức Thuận,Ông Trần Đức Thuận,Thành viên HĐQT,-,39.903.000,,,39903000.0
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,6.268.368.694,5.416.799.000,,6268368694.0,5416799000.0
Ông Trường Minh Trung,Ông Trường Minh Trung,Ông Trường Minh Trung,Phó Tổng Giám đốc,912.190.854,957.669.000,,912190854.0,957669000.0
Ông Lê Thanh Tú,Ông Lê Thanh Tú,Ông Lê Thanh Tú,Phó Tổng Giám đốc,594.907.079,957.669.000,,594907079.0,957669000.0
Ông Trần Thanh Phụng,Ông Trần Thanh Phụng,Ông Trần Thanh Phụng,Phó Tổng Giám đốc,912.190.854,957.669.000,,912190854.0,957669000.0
Ông Lê Đình Bửu Trí,Ông Lê Đình Bửu Trí,Ông Lê Đình Bửu Trí,Phó Tổng Giám đốc,912.190.854,558.640.000,,912190854.0,558640000.0
Ông Đỗ Hữu Phước,Ông Đỗ Hữu Phước,Ông Đỗ Hữu Phước,Phó Tổng Giám đốc,912.190.854,558.640.000,,912190854.0,558640000.0
Ông Huỳnh Kim Nhụt,Ông Huỳnh Kim Nhụt,Ông Huỳnh Kim Nhụt,Phó Tổng Giám đốc,912.190.854,558.640.000,,912190854.0,558640000.0
Ông Phạm Hải Dương,Ông Phạm Hải Dương,Ông Phạm Hải Dương,Phó Tổng Giám đốc,285.964.593,-,,285964593.0,
Ông Phạm Văn Hôi Em,Ông Phạm Văn Hôi Em,Ông Phạm Văn Hôi Em,Kế toán trưởng,826.542.753,867.872.000,,826542753.0,867872000.0
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,1.073.872.961,1.128.272.000,,1073872961.0,1128272000.0
Ông Đỗ Khắc Thăng,Ông Đỗ Khắc Thăng,Ông Đỗ Khắc Thăng,Trường Ban kiểm soát,826.672.961,867.872.000,,826672961.0,867872000.0
Ông Nguyễn Minh Đức,Ông Nguyễn Minh Đức,Ông Nguyễn Minh Đức,Kiểm soát viên,123.600.000,126.583.000,,123600000.0,126583000.0
Ông Võ Văn Tuấn,Ông Võ Văn Tuấn,Ông Võ Văn Tuấn,Kiểm soát viên,123.600.000,126.583.000,,123600000.0,126583000.0
Ông Trần Khắc Chung,Ông Trần Khắc Chung,Ông Trần Khắc Chung,Kiểm soát viên,-,3.617.000,,,3617000.0
Tổng cộng,Tổng cộng,Tổng cộng,,13.288.528.528,12.827.561.000,,13288528528.0,12827561000.0
