row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng(theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Tài sản,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Công nợ,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Giá trị thuần,numeric__Tổng giá trị của hợp đồng(theo tỷ giá ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Tài sản,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Công nợ,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Giá trị thuần
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,563.271,46.914,(47.157),(243),563271.0,46914.0,-47157.0,-243.0
Giao dịch hoán đối tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,15.435.251,5.370.287,(5.176.956),193.331,15435251.0,5370287.0,-5176956.0,193331.0
Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,,,,
Giao dịch hoán đối lãi suất,Công cụ tài chính phải sinh lãi suất > Giao dịch hoán đối lãi suất,Giao dịch hoán đối lãi suất,3.835.748,1.891.620,(1.944.128),(52.508),3835748.0,1891620.0,-1944128.0,-52508.0
,,,19.834.270,7.308.821,(7.168.241),140.580,19834270.0,7308821.0,-7168241.0,140580.0
Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,591.388,591.388,(612.972),(21.584),591388.0,591388.0,-612972.0,-21584.0
Giao dịch hoán đối tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,12.292.401,5.752.627,(5.778.970),(26.343),12292401.0,5752627.0,-5778970.0,-26343.0
Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,,,,
Giao dịch hoán đối lãi suất,Công cụ tài chính phải sinh lãi suất > Giao dịch hoán đối lãi suất,Giao dịch hoán đối lãi suất,2.534.000,1.260.000,(1.274.000),(14.000),2534000.0,1260000.0,-1274000.0,-14000.0
,,,15.417.789,7.604.015,(7.665.942),(61.927),15417789.0,7604015.0,-7665942.0,-61927.0
