row_label_raw,row_label_full,col_0,Dự phòng chung,Tổng cộng,numeric__Dự phòng chung,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,,
Số dư tại ngày 01/01/2024(Hoàn nhập) dự phòng trong năm,Số dư tại ngày 01/01/2024(Hoàn nhập) dự phòng trong năm,Số dư tại ngày 01/01/2024(Hoàn nhập) dự phòng trong năm,58.870(21.777),58.870(21.777),,
Số dư tại ngày 31/12/2024(Hoàn nhập) dự phòng trong năm,Số dư tại ngày 31/12/2024(Hoàn nhập) dự phòng trong năm,Số dư tại ngày 31/12/2024(Hoàn nhập) dự phòng trong năm,37.093(37.093),37.093(37.093),,
Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,-,-,,
