row_label_raw,row_label_full,col_0,Dự phòng chungTriệu VND,Dự phòng cụ thểTriệu VND,Dự phòng nợphải thu khódờiTriệu VND,Tổng cộngTriệu VND,numeric__Dự phòng chungTriệu VND,numeric__Dự phòng cụ thểTriệu VND,numeric__Dự phòng nợphải thu khódờiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư đầu năm (Trìnhbảy lại)(Hoàn nhập) dự phòngtrong năm,Số dư đầu năm (Trìnhbảy lại)(Hoàn nhập) dự phòngtrong năm,Số dư đầu năm (Trìnhbảy lại)(Hoàn nhập) dự phòngtrong năm,58.189(52.907),8.250(400),31.361(150),97.800(53.457),,,,
Số dư cuối năm,Số dư đầu năm (Trìnhbảy lại)(Hoàn nhập) dự phòngtrong năm > Số dư cuối năm,Số dư cuối năm,5.282,7.850,31.211,44.343,5282.0,7850.0,31211.0,44343.0
