row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,Tiền mặt,5,1.973.127,1.505.879,,5.0,1973127.0,1505879.0
II.,A. > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",6,33.023.671,26.288.908,,6.0,33023671.0,26288908.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,143.140.122,123.929.877,,7.0,143140122.0,123929877.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,132.139.927,99.216.617,,,132139927.0,99216617.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,11.000.195,24.713.260,,,11000195.0,24713260.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,9,-,4.908.635,,9.0,,4908635.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,-,4.945.728,,,,4945728.0
2.,A. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,-,(37.093),,,,-37093.0
V.,A. > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,10,140.580,-,,10.0,140580.0,
VI.,A. > VI.,VI.,Cho vay khách hàng,,592.088.200,500.540.169,,,592088200.0,500540169.0
1.,A. > 1.,1.,Cho vay khách hàng,11,601.422.252,508.719.989,,11.0,601422252.0,508719989.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,12,(9.334.052),(8.179.820),,12.0,-9334052.0,-8179820.0
VII.,A. > VII.,VII.,Chứng khoán đầu tư,13,28.300.025,32.335.975,,13.0,28300025.0,32335975.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,13.1,12.162.380,14.956.915,,131.0,12162380.0,14956915.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,16.173.014,17.812.962,,132.0,16173014.0,17812962.0
3.,A. > 3.,3.,Dự phòng giảm giá chứng khoán đầu tư,13.4,(35.369),(433.902),,134.0,-35369.0,-433902.0
VIII.,A. > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",14,3.615.403,3.615.217,,14.0,3615403.0,3615217.0
1.,A. > 1.,1.,Đầu tư vào công ty con,14.1,3.043.940,3.043.940,,141.0,3043940.0,3043940.0
2.,A. > 2.,2.,Các khoản đầu tư vào công ty liên kết,14.2,500.000,500.000,,142.0,500000.0,500000.0
3.,A. > 3.,3.,Đầu tư dài hạn khác,14.3,158.272,158.272,,143.0,158272.0,158272.0
4.,A. > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,14.4,(86.809),(86.995),,144.0,-86809.0,-86995.0
IX.,A. > IX.,IX.,Tài sản cố định,15,5.534.907,5.323.402,,15.0,5534907.0,5323402.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,15.1,824.536,822.260,,151.0,824536.0,822260.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,1.564.637,1.529.373,,,1564637.0,1529373.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(740.101),(707.113),,,-740101.0,-707113.0
2.,A. > 2.,2.,Tài sản cố định vô hình,15.2,4.710.371,4.501.142,,152.0,4710371.0,4501142.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,5.113.913,4.858.648,,,5113913.0,4858648.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(403.542),(357.506),,,-403542.0,-357506.0
X.,A. > X.,X.,Tài sản Có khác,16,77.322.093,42.625.141,,16.0,77322093.0,42625141.0
1.,A. > 1.,1.,Các khoản phải thu,,64.526.319,30.072.688,,,64526319.0,30072688.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,11.325.209,11.256.456,,,11325209.0,11256456.0
3.,A. > 3.,3.,Tài sản Có khác,16.3,1.514.908,1.393.797,,163.0,1514908.0,1393797.0
4.,A. > 4.,4.,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,16.4,(44.343),(97.800),,164.0,-44343.0,-97800.0
