row_label_raw,row_label_full,CHỈ TIÊU,EUR quy đổi > Triệu VND,USD quy đổi > Triệu VND,Các ngoại tệ khácđược quy đổi > Triệu VND,Tổng > Triệu VND,numeric__EUR quy đổi > Triệu VND,numeric__USD quy đổi > Triệu VND,numeric__Các ngoại tệ khácđược quy đổi > Triệu VND,numeric__Tổng > Triệu VND
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,
Tiền mặt,Tải sản > Tiền mặt,Tiền mặt,38.453,409.106,316,447.875,38453.0,409106.0,316.0,447875.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,17.145,18.740.971,-,18.758.116,17145.0,18740971.0,,18758116.0
Tiền gửi và cho vay các TCTD khác (*),Tải sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),95.146,16.124.285,144.233,16.363.664,95146.0,16124285.0,144233.0,16363664.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),546.097,9.391.443,-,9.937.540,546097.0,9391443.0,,9937540.0
Tải sản Có khác,Tải sản > Tải sản Có khác,Tải sản Có khác,54,95.263,-,95.317,54.0,95263.0,,95317.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,696.895,44.761.068,144.549,45.602.512,696895.0,44761068.0,144549.0,45602512.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,13.367.783,8.477,13.376.260,,13367783.0,8477.0,13376260.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,142.928,9.293.715,15.118,9.451.761,142928.0,9293715.0,15118.0,9451761.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,7.048.749,116.438,7.165.187,,7048749.0,116438.0,7165187.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",546.097,14.715.165,-,15.261.262,546097.0,14715165.0,,15261262.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,1.305,284.304,1.601,287.210,1305.0,284304.0,1601.0,287210.0
Vốn và các quỹ,Vốn và các quỹ,Vốn và các quỹ,-,-,-,-,,,,
Tổng Nợ phải trả và vốn chủ sở hữu,Vốn và các quỹ > Tổng Nợ phải trả và vốn chủ sở hữu,Tổng Nợ phải trả và vốn chủ sở hữu,690.330,44.709.716,141.634,45.541.680,690330.0,44709716.0,141634.0,45541680.0
Trạng thái tiên tệ nội bảng,Vốn và các quỹ > Trạng thái tiên tệ nội bảng,Trạng thái tiên tệ nội bảng,6.565,51.352,2.915,60.832,6565.0,51352.0,2915.0,60832.0
Trạng thái tiên tệ ngoại bảng,Vốn và các quỹ > Trạng thái tiên tệ ngoại bảng,Trạng thái tiên tệ ngoại bảng,-,(335.947),3.774,(332.173),,-335947.0,3774.0,-332173.0
"Trạng thái tiên tệ nội, ngoại bảng","Vốn và các quỹ > Trạng thái tiên tệ nội, ngoại bảng","Trạng thái tiên tệ nội, ngoại bảng",6.565,(284.595),6.689,(271.341),6565.0,-284595.0,6689.0,-271341.0
